,anhui,beijing,chongqing,fujian,gansu,guangdong,guangxi,guizhou,hainan,hebei,heilongjiang,henan,hubei,hunan,jiangsu,jiangxi,jilin,liaoning,shaanxi,shandong,shanghai,shanxi,sichuan,taiwan,tianjin,xinjiang,yunnan,zhejiang,south korea,france,australia,malaysia,brazil,germany,uk,italy,belgium,spain,sweden,finland,iran,austria,switzerland,norway,netherlands,denmark,ireland,portugal,washington,california,massachusetts,texas,florida,new york
0,1157.73,3346.28,966.07,833.98,147.63,1605.8,533.54,525.77,704.48,1036,214.97,1481.48,798.4,830.8966667,2020.2,674.9,380.989,752.913,483.035,1685.0281,9875.67,598.549,433.0876856,1680,3400,38.1507,278.166,1450.4,1302,309,8.4175,255,72.002,623,709.66,485.107,14200,242.2427,51.8,47.0344,132,277.6739,558.1968,37.6845,1059.31,357.6013,147,290.598,101.2,251.3,871,109.9,378,421
1,1158.73,3346.28,966.07,833.98,147.63,1605.8,533.54,525.77,704.48,1036,214.97,1481.48,799.4,830.8966667,2020.2,675.9,380.989,752.913,483.035,1685.0281,9875.67,598.549,433.0876856,1680,3400,38.1507,278.166,1450.4,1302,309,8.4175,256,72.002,624,709.66,485.107,14201,242.2427,51.8,47.0344,133,277.6739,558.1968,37.6845,1059.31,357.6013,148,290.598,101.2,251.3,871,109.9,378,421
2,1159.73,3346.28,966.07,833.98,147.63,1605.8,533.54,525.77,704.48,1036,214.97,1481.48,800.4,830.8966667,2020.2,676.9,380.989,752.913,483.035,1685.0281,9875.67,598.549,433.0876856,1680,3400,38.1507,278.166,1450.4,1302,309,8.4175,257,72.002,625,709.66,485.107,14202,242.2427,51.8,47.0344,134,277.6739,558.1968,37.6845,1059.31,357.6013,149,290.598,101.2,251.3,871,109.9,378,421
3,1160.73,3346.28,966.07,833.98,147.63,1605.8,533.54,525.77,704.48,1036,214.97,1481.48,801.4,830.8966667,2020.2,677.9,380.989,752.913,483.035,1685.0281,9875.67,598.549,433.0876856,1680,3400,38.1507,278.166,1450.4,1302,309,8.4175,258,72.002,626,709.66,485.107,14203,242.2427,51.8,47.0344,135,277.6739,558.1968,37.6845,1059.31,357.6013,150,290.598,101.2,251.3,871,109.9,378,421
4,1161.73,3346.28,966.07,833.98,147.63,1605.8,533.54,525.77,704.48,1036,214.97,1481.48,802.4,830.8966667,2020.2,678.9,380.989,752.913,483.035,1685.0281,9875.67,598.549,433.0876856,1680,3400,38.1507,278.166,1450.4,1302,309,8.4175,259,72.002,627,709.66,485.107,14204,242.2427,51.8,47.0344,136,277.6739,558.1968,37.6845,1059.31,357.6013,151,290.598,101.2,251.3,871,109.9,378,421
5,1162.73,3346.28,966.07,833.98,147.63,1605.8,533.54,525.77,704.48,1036,214.97,1481.48,803.4,830.8966667,2020.2,679.9,380.989,752.913,483.035,1685.0281,9875.67,598.549,433.0876856,1680,3400,38.1507,278.166,1450.4,1302,309,8.4175,260,72.002,628,709.66,485.107,14205,242.2427,51.8,47.0344,137,277.6739,558.1968,37.6845,1059.31,357.6013,152,290.598,101.2,251.3,871,109.9,378,421
6,1163.73,3346.28,966.07,833.98,147.63,1605.8,533.54,525.77,704.48,1036,214.97,1481.48,804.4,830.8966667,2020.2,680.9,380.989,752.913,483.035,1685.0281,9875.67,598.549,433.0876856,1680,3400,38.1507,278.166,1450.4,1302,309,8.4175,261,72.002,629,709.66,485.107,14206,242.2427,51.8,47.0344,138,277.6739,558.1968,37.6845,1059.31,357.6013,153,290.598,101.2,251.3,871,109.9,378,421
7,1164.73,3346.28,966.07,833.98,147.63,1605.8,533.54,525.77,704.48,1036,214.97,1481.48,805.4,830.8966667,2020.2,681.9,380.989,752.913,483.035,1685.0281,9875.67,598.549,433.0876856,1680,3400,38.1507,278.166,1450.4,1302,309,8.4175,262,72.002,630,709.66,485.107,14207,242.2427,51.8,47.0344,139,277.6739,558.1968,37.6845,1059.31,357.6013,154,290.598,101.2,251.3,871,109.9,378,421
8,1165.73,3346.28,966.07,833.98,147.63,1605.8,533.54,525.77,704.48,1036,214.97,1481.48,806.4,830.8966667,2020.2,682.9,380.989,752.913,483.035,1685.0281,9875.67,598.549,433.0876856,1680,3400,38.1507,278.166,1450.4,1302,309,8.4175,263,72.002,631,709.66,485.107,14208,242.2427,51.8,47.0344,140,277.6739,558.1968,37.6845,1059.31,357.6013,155,290.598,101.2,251.3,871,109.9,378,421
9,1166.73,3346.28,966.07,833.98,147.63,1605.8,533.54,525.77,704.48,1036,214.97,1481.48,807.4,830.8966667,2020.2,683.9,380.989,752.913,483.035,1685.0281,9875.67,598.549,433.0876856,1680,3400,38.1507,278.166,1450.4,1302,309,8.4175,264,72.002,632,709.66,485.107,14209,242.2427,51.8,47.0344,141,277.6739,558.1968,37.6845,1059.31,357.6013,156,290.598,101.2,251.3,871,109.9,378,421
10,1167.73,3346.28,966.07,833.98,147.63,1605.8,533.54,525.77,704.48,1036,214.97,1481.48,808.4,830.8966667,2020.2,684.9,380.989,752.913,483.035,1685.0281,9875.67,598.549,433.0876856,1680,3400,38.1507,278.166,1450.4,1302,309,8.4175,265,72.002,633,709.66,485.107,14210,242.2427,51.8,47.0344,142,277.6739,558.1968,37.6845,1059.31,357.6013,157,290.598,101.2,251.3,871,109.9,378,421
11,1168.73,3346.28,966.07,833.98,147.63,1605.8,533.54,525.77,704.48,1036,214.97,1481.48,809.4,830.8966667,2020.2,685.9,380.989,752.913,483.035,1685.0281,9875.67,598.549,433.0876856,1680,3400,38.1507,278.166,1450.4,1302,309,8.4175,266,72.002,634,709.66,485.107,14211,242.2427,51.8,47.0344,143,277.6739,558.1968,37.6845,1059.31,357.6013,158,290.598,101.2,251.3,871,109.9,378,421
12,1169.73,3346.28,966.07,833.98,147.63,1605.8,533.54,525.77,704.48,1036,214.97,1481.48,810.4,830.8966667,2020.2,686.9,380.989,752.913,483.035,1685.0281,9875.67,598.549,433.0876856,1680,3400,38.1507,278.166,1450.4,1302,309,8.4175,267,72.002,635,709.66,485.107,14212,242.2427,51.8,47.0344,144,277.6739,558.1968,37.6845,1059.31,357.6013,159,290.598,101.2,251.3,871,109.9,378,421
13,1170.73,3346.28,966.07,833.98,147.63,1605.8,533.54,525.77,704.48,1036,214.97,1481.48,811.4,830.8966667,2020.2,687.9,380.989,752.913,483.035,1685.0281,9875.67,598.549,433.0876856,1680,3400,38.1507,278.166,1450.4,1302,309,8.4175,268,72.002,636,709.66,485.107,14213,242.2427,51.8,47.0344,145,277.6739,558.1968,37.6845,1059.31,357.6013,160,290.598,101.2,251.3,871,109.9,378,421
14,1171.73,3346.28,966.07,833.98,147.63,1605.8,533.54,525.77,704.48,1036,214.97,1481.48,812.4,830.8966667,2020.2,688.9,380.989,752.913,483.035,1685.0281,9875.67,598.549,433.0876856,1680,3400,38.1507,278.166,1450.4,1302,309,8.4175,269,72.002,637,709.66,485.107,14214,242.2427,51.8,47.0344,146,277.6739,558.1968,37.6845,1059.31,357.6013,161,290.598,101.2,251.3,871,109.9,378,421
15,1172.73,3346.28,966.07,833.98,147.63,1605.8,533.54,525.77,704.48,1036,214.97,1481.48,813.4,830.8966667,2020.2,689.9,380.989,752.913,483.035,1685.0281,9875.67,598.549,433.0876856,1680,3400,38.1507,278.166,1450.4,1302,309,8.4175,270,72.002,638,709.66,485.107,14215,242.2427,51.8,47.0344,147,277.6739,558.1968,37.6845,1059.31,357.6013,162,290.598,101.2,251.3,871,109.9,378,421
16,1173.73,3346.28,966.07,833.98,147.63,1605.8,533.54,525.77,704.48,1036,214.97,1481.48,814.4,830.8966667,2020.2,690.9,380.989,752.913,483.035,1685.0281,9875.67,598.549,433.0876856,1680,3400,38.1507,278.166,1450.4,1302,309,8.4175,271,72.002,639,709.66,485.107,14216,242.2427,51.8,47.0344,148,277.6739,558.1968,37.6845,1059.31,357.6013,163,290.598,101.2,251.3,871,109.9,378,421
17,1174.73,3346.28,966.07,833.98,147.63,1605.8,533.54,525.77,704.48,1036,214.97,1481.48,815.4,830.8966667,2020.2,691.9,380.989,752.913,483.035,1685.0281,9875.67,598.549,433.0876856,1680,3400,38.1507,278.166,1450.4,1302,309,8.4175,272,72.002,640,709.66,485.107,14217,242.2427,51.8,47.0344,149,277.6739,558.1968,37.6845,1059.31,357.6013,164,290.598,101.2,251.3,871,109.9,378,421
18,1175.73,3346.28,966.07,833.98,147.63,1605.8,533.54,525.77,704.48,1036,214.97,1481.48,816.4,830.8966667,2020.2,692.9,380.989,752.913,483.035,1685.0281,9875.67,598.549,433.0876856,1680,3400,38.1507,278.166,1450.4,1302,309,8.4175,273,72.002,641,709.66,485.107,14218,242.2427,51.8,47.0344,150,277.6739,558.1968,37.6845,1059.31,357.6013,165,290.598,101.2,251.3,871,109.9,378,421
19,1176.73,3346.28,966.07,833.98,147.63,1605.8,533.54,525.77,704.48,1036,214.97,1481.48,817.4,830.8966667,2020.2,693.9,380.989,752.913,483.035,1685.0281,9875.67,598.549,433.0876856,1680,3400,38.1507,278.166,1450.4,1302,309,8.4175,274,72.002,642,709.66,485.107,14219,242.2427,51.8,47.0344,151,277.6739,558.1968,37.6845,1059.31,357.6013,166,290.598,101.2,251.3,871,109.9,378,421
20,1177.73,3346.28,966.07,833.98,147.63,1605.8,533.54,525.77,704.48,1036,214.97,1481.48,818.4,830.8966667,2020.2,694.9,380.989,752.913,483.035,1685.0281,9875.67,598.549,433.0876856,1680,3400,38.1507,278.166,1450.4,1302,309,8.4175,275,72.002,643,709.66,485.107,14220,242.2427,51.8,47.0344,152,277.6739,558.1968,37.6845,1059.31,357.6013,167,290.598,101.2,251.3,871,109.9,378,421
21,1178.73,3346.28,966.07,833.98,147.63,1605.8,533.54,525.77,704.48,1036,214.97,1481.48,819.4,830.8966667,2020.2,695.9,380.989,752.913,483.035,1685.0281,9875.67,598.549,433.0876856,1680,3400,38.1507,278.166,1450.4,1302,309,8.4175,276,72.002,644,709.66,485.107,14221,242.2427,51.8,47.0344,153,277.6739,558.1968,37.6845,1059.31,357.6013,168,290.598,101.2,251.3,871,109.9,378,421
22,1179.73,3346.28,966.07,833.98,147.63,1605.8,533.54,525.77,704.48,1036,214.97,1481.48,820.4,830.8966667,2020.2,696.9,380.989,752.913,483.035,1685.0281,9875.67,598.549,433.0876856,1680,3400,38.1507,278.166,1450.4,1302,309,8.4175,277,72.002,645,709.66,485.107,14222,242.2427,51.8,47.0344,154,277.6739,558.1968,37.6845,1059.31,357.6013,169,290.598,101.2,251.3,871,109.9,378,421
23,1180.73,3346.28,966.07,833.98,147.63,1605.8,533.54,525.77,704.48,1036,214.97,1481.48,821.4,830.8966667,2020.2,697.9,380.989,752.913,483.035,1685.0281,9875.67,598.549,433.0876856,1680,3400,38.1507,278.166,1450.4,1302,309,8.4175,278,72.002,646,709.66,485.107,14223,242.2427,51.8,47.0344,155,277.6739,558.1968,37.6845,1059.31,357.6013,170,290.598,101.2,251.3,871,109.9,378,421
24,1181.73,3346.28,966.07,833.98,147.63,1605.8,533.54,525.77,704.48,1036,214.97,1481.48,822.4,830.8966667,2020.2,698.9,380.989,752.913,483.035,1685.0281,9875.67,598.549,433.0876856,1680,3400,38.1507,278.166,1450.4,1302,309,8.4175,279,72.002,647,709.66,485.107,14224,242.2427,51.8,47.0344,156,277.6739,558.1968,37.6845,1059.31,357.6013,171,290.598,101.2,251.3,871,109.9,378,421
25,1182.73,3346.28,966.07,833.98,147.63,1605.8,533.54,525.77,704.48,1036,214.97,1481.48,823.4,830.8966667,2020.2,699.9,380.989,752.913,483.035,1685.0281,9875.67,598.549,433.0876856,1680,3400,38.1507,278.166,1450.4,1302,309,8.4175,280,72.002,648,709.66,485.107,14225,242.2427,51.8,47.0344,157,277.6739,558.1968,37.6845,1059.31,357.6013,172,290.598,101.2,251.3,871,109.9,378,421
26,1183.73,3346.28,966.07,833.98,147.63,1605.8,533.54,525.77,704.48,1036,214.97,1481.48,824.4,830.8966667,2020.2,700.9,380.989,752.913,483.035,1685.0281,9875.67,598.549,433.0876856,1680,3400,38.1507,278.166,1450.4,1302,309,8.4175,281,72.002,649,709.66,485.107,14226,242.2427,51.8,47.0344,158,277.6739,558.1968,37.6845,1059.31,357.6013,173,290.598,101.2,251.3,871,109.9,378,421
27,1184.73,3346.28,966.07,833.98,147.63,1605.8,533.54,525.77,704.48,1036,214.97,1481.48,825.4,830.8966667,2020.2,701.9,380.989,752.913,483.035,1685.0281,9875.67,598.549,433.0876856,1680,3400,38.1507,278.166,1450.4,1302,309,8.4175,282,72.002,650,709.66,485.107,14227,242.2427,51.8,47.0344,159,277.6739,558.1968,37.6845,1059.31,357.6013,174,290.598,101.2,251.3,871,109.9,378,421
28,1185.73,3346.28,966.07,833.98,147.63,1605.8,533.54,525.77,704.48,1036,214.97,1481.48,826.4,830.8966667,2020.2,702.9,380.989,752.913,483.035,1685.0281,9875.67,598.549,433.0876856,1680,3400,38.1507,278.166,1450.4,1302,309,8.4175,283,72.002,651,709.66,485.107,14228,242.2427,51.8,47.0344,160,277.6739,558.1968,37.6845,1059.31,357.6013,175,290.598,101.2,251.3,871,109.9,378,421
