,anhui,beijing,chongqing,fujian,gansu,guangdong,guangxi,guizhou,hainan,hebei,heilongjiang,henan,hubei,hunan,jiangsu,jiangxi,jilin,liaoning,shaanxi,shandong,shanghai,shanxi,sichuan,taiwan,tianjin,xinjiang,yunnan,zhejiang,south korea,france,australia,malaysia,brazil,germany,uk,italy,belgium,spain,sweden,finland,iran,austria,switzerland,norway,netherlands,denmark,ireland,portugal,washington,california,massachusetts,texas,florida,new york
0,0,10,5,0,0,17,0,0,0,0,0,1,270,1,0,2,0,0,0,1,9,0,2,1,2,0,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,1,14,6,1,0,26,2,1,4,1,0,5,444,4,1,2,0,2,0,2,9,1,5,1,4,0,1,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2,9,22,9,5,2,32,5,3,5,1,2,5,444,9,5,7,1,3,3,6,16,1,8,1,4,2,2,27,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0
3,15,36,27,10,2,53,23,3,8,2,4,24,549,24,9,18,3,4,5,15,20,1,15,3,8,2,5,43,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0
4,39,41,57,18,4,78,23,4,19,8,9,32,761,43,18,18,4,17,15,27,33,6,28,3,10,3,11,62,2,3,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0
5,60,68,75,35,7,111,36,5,22,13,15,83,1058,69,33,36,4,21,22,46,40,9,44,4,14,4,16,104,3,3,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0
6,70,72,110,56,14,151,46,7,33,18,21,128,1423,100,47,48,6,27,35,75,53,13,69,5,22,5,26,128,4,3,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0
7,152,102,147,82,24,241,58,9,43,48,37,206,3554,221,99,109,9,37,56,121,80,27,108,8,27,13,51,296,4,4,5,7,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0
8,200,114,165,101,26,311,78,12,46,65,43,278,4586,277,129,162,14,41,63,145,101,35,142,8,29,14,70,428,4,5,7,8,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0
9,237,121,206,101,29,393,87,15,49,82,59,352,5806,332,168,240,14,45,66,178,128,39,177,9,32,17,76,537,7,6,9,8,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,5,0,0,0,0
