,anhui,beijing,chongqing,fujian,gansu,guangdong,guangxi,guizhou,hainan,hebei,heilongjiang,henan,hubei,hunan,jiangsu,jiangxi,jilin,liaoning,shaanxi,shandong,shanghai,shanxi,sichuan,taiwan,tianjin,xinjiang,yunnan,zhejiang,south korea,france,australia,malaysia,brazil,germany,uk,italy,belgium,spain,sweden,finland,iran,austria,switzerland,norway,netherlands,denmark,ireland,portugal,washington,california,massachusetts,texas,florida,new york
0,0,10,5,0,0,17,0,0,0,0,0,1,270,1,0,2,0,0,0,1,9,0,2,1,2,0,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,1,14,6,1,0,26,2,1,4,1,0,5,444,4,1,2,0,2,0,2,9,1,5,1,4,0,1,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2,9,22,9,5,2,30,5,3,5,0,2,5,399,9,5,7,1,3,3,6,16,1,8,1,4,2,2,27,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0
3,15,35,27,10,2,51,23,3,8,2,3,24,494,24,9,18,3,4,5,15,19,1,15,3,8,2,5,43,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0
4,39,39,57,18,4,76,23,4,19,8,9,32,689,43,17,18,4,17,15,27,32,6,28,3,10,3,11,61,2,3,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0
5,60,66,75,35,7,109,36,5,22,12,14,83,964,69,33,36,4,21,22,46,38,9,44,4,14,4,16,104,3,3,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0
6,70,70,109,56,14,148,46,7,32,17,20,128,1302,100,46,47,6,27,35,75,49,13,69,5,22,5,26,127,4,3,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0
7,150,97,146,82,24,236,56,8,42,47,36,203,3349,221,98,106,9,37,56,120,75,27,107,8,27,13,51,293,4,4,5,7,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0
8,198,108,164,101,26,305,76,11,44,64,42,274,4334,275,128,158,13,40,63,144,95,34,140,8,29,14,70,424,4,5,5,8,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0
9,234,115,205,101,29,383,85,14,47,81,57,347,5486,330,166,233,13,44,66,176,122,38,175,9,32,17,76,528,7,6,7,8,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,5,0,0,0,0
