Active,Total,Pop,Med,Active,Total,Pop,Med,Active,Total,Pop,Med,Active,Total,Pop,Med,Active,Total,Pop,Med,Active,Total,Pop,Med,Active,Total,Pop,Med,Active,Total,Pop,Med,Active,Total,Pop,Med,Active,Total,Pop,Med,Active,Total,Pop,Med,Active,Total,Pop,Med,Active,Total,Pop,Med,Active,Total,Pop,Med,Active,Total,Pop,Med,Active,Total,Pop,Med,Active,Total,Pop,Med
3.71287E-07,3.71287E-07,3813,0.811228513,1.74307E-07,1.74307E-07,560,0.313519608,1.24378E-08,1.24378E-08,780,0.312251462,0,0,186.5,0.174421206,1.99064E-08,1.99064E-08,650.59,0.513979194,1.6129E-08,1.6129E-08,447,0.175311382,6.49954E-07,6.49954E-07,1292,0.593809524,1.95122E-07,1.95122E-07,373,0.239149453,2.59269E-08,2.59269E-08,322,0.224377576,0,0,57,0.063519701,2.29156E-07,2.29156E-07,620,0.277077778,4.13394E-08,4.13394E-08,206,0.144101695,2.88268E-08,2.88268E-08,203,0.159284091,4.31965E-07,4.31965E-07,272,0.152352941,1.33869E-08,1.33869E-08,400,0.431070858,0,0,83,0.044676211,5.23067E-08,5.23067E-08,572,0.425682635
6.60066E-07,6.60066E-07,3813,0.811228513,4.70629E-07,4.70629E-07,560,0.313519608,6.21891E-08,6.21891E-08,780,0.312251462,8.01496E-08,8.01496E-08,186.5,0.174421206,5.97193E-08,5.97193E-08,650.59,0.513979194,1.45161E-07,1.45161E-07,447,0.175311382,1.02136E-06,1.02136E-06,1292,0.593809524,2.92683E-07,2.92683E-07,373,0.239149453,1.29634E-07,1.29634E-07,322,0.224377576,7.80031E-08,0,57,0.063519701,2.6441E-07,2.82038E-07,620,0.277077778,1.03348E-07,1.03348E-07,206,0.144101695,8.64803E-08,8.64803E-08,203,0.159284091,5.39957E-07,5.39957E-07,272,0.152352941,0,1.33869E-08,400,0.431070858,7.05716E-08,7.05716E-08,83,0.044676211,5.23067E-08,5.23067E-08,572,0.425682635
7.83828E-07,8.25083E-07,3813,0.811228513,7.49521E-07,7.49521E-07,560,0.313519608,1.1194E-07,1.1194E-07,780,0.312251462,1.33583E-07,1.33583E-07,186.5,0.174421206,1.49298E-07,1.49298E-07,650.59,0.513979194,2.41935E-07,2.41935E-07,447,0.175311382,1.62488E-06,1.67131E-06,1292,0.593809524,8.78049E-07,8.78049E-07,373,0.239149453,2.59269E-07,2.59269E-07,322,0.224377576,7.80031E-08,0,57,0.063519701,4.49498E-07,4.67125E-07,620,0.277077778,4.75403E-07,4.75403E-07,206,0.144101695,8.64803E-08,8.64803E-08,203,0.159284091,8.63931E-07,8.63931E-07,272,0.152352941,1.33869E-08,2.67738E-08,400,0.431070858,1.05857E-07,1.41143E-07,83,0.044676211,9.41521E-08,9.41521E-08,572,0.425682635
1.32013E-06,1.36139E-06,3813,0.811228513,1.0807E-06,1.0807E-06,560,0.313519608,2.23881E-07,2.23881E-07,780,0.312251462,4.00748E-07,4.00748E-07,186.5,0.174421206,2.68737E-07,2.68737E-07,650.59,0.513979194,6.29032E-07,6.29032E-07,447,0.175311382,1.81058E-06,1.90344E-06,1292,0.593809524,1.85366E-06,1.85366E-06,373,0.239149453,4.66684E-07,4.66684E-07,322,0.224377576,1.56006E-07,0,57,0.063519701,6.6984E-07,6.87467E-07,620,0.277077778,4.75403E-07,4.75403E-07,206,0.144101695,1.15307E-07,1.15307E-07,203,0.159284091,2.05184E-06,2.05184E-06,272,0.152352941,9.37082E-08,1.07095E-07,400,0.431070858,2.82287E-07,3.17572E-07,83,0.044676211,3.34763E-07,3.34763E-07,572,0.425682635
1.56766E-06,1.65017E-06,3813,0.811228513,1.81279E-06,1.81279E-06,560,0.313519608,4.10448E-07,4.10448E-07,780,0.312251462,5.87764E-07,5.87764E-07,186.5,0.174421206,4.57848E-07,4.57848E-07,650.59,0.513979194,9.67742E-07,9.67742E-07,447,0.175311382,3.06407E-06,3.15692E-06,1292,0.593809524,2.43902E-06,2.43902E-06,373,0.239149453,9.07441E-07,9.07441E-07,322,0.224377576,2.73011E-07,0,57,0.063519701,9.60691E-07,9.78318E-07,620,0.277077778,7.44109E-07,7.44109E-07,206,0.144101695,1.44134E-07,1.44134E-07,203,0.159284091,2.37581E-06,2.37581E-06,272,0.152352941,1.60643E-07,1.74029E-07,400,0.431070858,4.94001E-07,5.29287E-07,83,0.044676211,8.5783E-07,8.68292E-07,572,0.425682635
2.02145E-06,2.18647E-06,3813,0.811228513,2.2137E-06,2.23113E-06,560,0.313519608,5.72139E-07,5.84577E-07,780,0.312251462,9.35079E-07,9.35079E-07,186.5,0.174421206,7.46491E-07,7.46491E-07,650.59,0.513979194,1.12903E-06,1.12903E-06,447,0.175311382,3.57474E-06,3.71402E-06,1292,0.593809524,3.57724E-06,3.57724E-06,373,0.239149453,1.52969E-06,1.52969E-06,322,0.224377576,5.46022E-07,0,57,0.063519701,1.29561E-06,1.33087E-06,620,0.277077778,9.50806E-07,9.50806E-07,206,0.144101695,2.01787E-07,2.01787E-07,203,0.159284091,3.45572E-06,3.56371E-06,272,0.152352941,2.27577E-07,2.40964E-07,400,0.431070858,7.05716E-07,7.41002E-07,83,0.044676211,1.32859E-06,1.33905E-06,572,0.425682635
3.09406E-06,3.30033E-06,3813,0.811228513,5.1072E-06,5.15949E-06,560,0.313519608,1.21891E-06,1.23134E-06,780,0.312251462,1.22896E-06,1.22896E-06,186.5,0.174421206,9.45556E-07,9.45556E-07,650.59,0.513979194,1.70968E-06,1.70968E-06,447,0.175311382,3.99257E-06,4.2247E-06,1292,0.593809524,4.29268E-06,4.29268E-06,373,0.239149453,2.07415E-06,2.07415E-06,322,0.224377576,7.4103E-07,0,57,0.063519701,1.78918E-06,1.82443E-06,620,0.277077778,1.01282E-06,1.05415E-06,206,0.144101695,2.59441E-07,2.59441E-07,203,0.159284091,4.21166E-06,4.31965E-06,272,0.152352941,4.2838E-07,4.41767E-07,400,0.431070858,1.12915E-06,1.16443E-06,83,0.044676211,1.74704E-06,1.75751E-06,572,0.425682635
3.71287E-06,3.9604E-06,3813,0.811228513,5.1072E-06,5.15949E-06,560,0.313519608,1.21891E-06,1.23134E-06,780,0.312251462,1.49613E-06,1.49613E-06,186.5,0.174421206,1.28397E-06,1.29392E-06,650.59,0.513979194,2.41935E-06,2.45161E-06,447,0.175311382,4.92108E-06,5.1532E-06,1292,0.593809524,4.74797E-06,4.78049E-06,373,0.239149453,2.17786E-06,2.17786E-06,322,0.224377576,9.36037E-07,0,57,0.063519701,2.39732E-06,2.44139E-06,620,0.277077778,1.1575E-06,1.19884E-06,206,0.144101695,2.30614E-07,2.59441E-07,203,0.159284091,4.53564E-06,4.64363E-06,272,0.152352941,6.29183E-07,6.4257E-07,400,0.431070858,1.30558E-06,1.34086E-06,83,0.044676211,2.12365E-06,2.15504E-06,572,0.425682635
4.37294E-06,4.62046E-06,3813,0.811228513,7.39062E-06,7.46035E-06,560,0.313519608,1.59204E-06,1.60448E-06,780,0.312251462,1.68314E-06,1.68314E-06,186.5,0.174421206,1.56266E-06,1.57261E-06,650.59,0.513979194,3.19355E-06,3.22581E-06,447,0.175311382,5.06035E-06,5.29248E-06,1292,0.593809524,5.88618E-06,5.9187E-06,373,0.239149453,2.61862E-06,2.61862E-06,322,0.224377576,1.01404E-06,0,57,0.063519701,3.03191E-06,3.12004E-06,620,0.277077778,1.5709E-06,1.61224E-06,206,0.144101695,3.17094E-07,3.45921E-07,203,0.159284091,4.75162E-06,4.9676E-06,272,0.152352941,8.5676E-07,8.70147E-07,400,0.431070858,1.482E-06,1.55258E-06,83,0.044676211,2.86641E-06,2.90825E-06,572,0.425682635
5.85809E-06,6.31188E-06,3813,0.811228513,1.01098E-05,1.0441E-05,560,0.313519608,2.45025E-06,2.51244E-06,780,0.312251462,2.32434E-06,2.32434E-06,186.5,0.174421206,1.81149E-06,1.83139E-06,650.59,0.513979194,3.77419E-06,3.82258E-06,447,0.175311382,6.17456E-06,6.45311E-06,1292,0.593809524,6.82927E-06,6.86179E-06,373,0.239149453,3.11123E-06,3.11123E-06,322,0.224377576,1.13105E-06,0,57,0.063519701,3.74581E-06,3.84276E-06,620,0.277077778,1.75692E-06,1.79826E-06,206,0.144101695,7.78322E-07,8.35976E-07,203,0.159284091,5.39957E-06,5.61555E-06,272,0.152352941,1.08434E-06,1.09772E-06,400,0.431070858,2.01129E-06,2.08186E-06,83,0.044676211,3.63009E-06,3.68239E-06,572,0.425682635
6.51815E-06,6.97195E-06,3813,0.811228513,1.0075E-05,1.0441E-05,560,0.313519608,2.43781E-06,2.51244E-06,780,0.312251462,2.69837E-06,2.69837E-06,186.5,0.174421206,2.0205E-06,2.05036E-06,650.59,0.513979194,4.70968E-06,4.79032E-06,447,0.175311382,7.33519E-06,7.79944E-06,1292,0.593809524,7.90244E-06,8.03252E-06,373,0.239149453,3.73347E-06,3.73347E-06,322,0.224377576,1.56006E-06,0,57,0.063519701,4.59193E-06,4.71532E-06,620,0.277077778,2.02563E-06,2.06697E-06,206,0.144101695,7.78322E-07,8.35976E-07,203,0.159284091,6.47948E-06,6.69546E-06,272,0.152352941,1.27175E-06,1.28514E-06,400,0.431070858,2.68172E-06,2.82287E-06,83,0.044676211,4.36238E-06,4.41469E-06,572,0.425682635
7.05446E-06,7.50825E-06,3813,0.811228513,1.11208E-05,1.15217E-05,560,0.313519608,2.84826E-06,2.93532E-06,780,0.312251462,3.09912E-06,3.09912E-06,186.5,0.174421206,2.22952E-06,2.28924E-06,650.59,0.513979194,5.37097E-06,5.48387E-06,447,0.175311382,8.40297E-06,8.86722E-06,1292,0.593809524,9.46341E-06,9.7561E-06,373,0.239149453,4.12237E-06,4.12237E-06,322,0.224377576,1.87207E-06,1.17005E-07,57,0.063519701,5.43804E-06,5.57025E-06,620,0.277077778,2.253E-06,2.29434E-06,206,0.144101695,1.03776E-06,1.09542E-06,203,0.159284091,6.37149E-06,6.91145E-06,272,0.152352941,1.33869E-06,1.39224E-06,400,0.431070858,3.21101E-06,3.35215E-06,83,0.044676211,5.03191E-06,5.15744E-06,572,0.425682635
7.92079E-06,8.37459E-06,3813,0.811228513,1.19923E-05,1.26198E-05,560,0.313519608,3.27114E-06,3.37065E-06,780,0.312251462,3.41972E-06,3.41972E-06,186.5,0.174421206,2.50821E-06,2.57788E-06,650.59,0.513979194,6.35484E-06,6.58065E-06,447,0.175311382,9.23863E-06,9.84215E-06,1292,0.593809524,1.06016E-05,1.09593E-05,373,0.239149453,4.61499E-06,4.64091E-06,322,0.224377576,2.02808E-06,1.17005E-07,57,0.063519701,6.20483E-06,6.38992E-06,620,0.277077778,2.48036E-06,2.62505E-06,206,0.144101695,1.26838E-06,1.32603E-06,203,0.159284091,7.23542E-06,7.77538E-06,272,0.152352941,1.45917E-06,1.51272E-06,400,0.431070858,4.12844E-06,4.26958E-06,83,0.044676211,5.73282E-06,5.92112E-06,572,0.425682635
8.49835E-06,9.03465E-06,3813,0.811228513,1.34042E-05,1.44501E-05,560,0.313519608,3.68159E-06,3.83085E-06,780,0.312251462,3.74032E-06,3.79375E-06,186.5,0.174421206,2.62765E-06,2.73714E-06,650.59,0.513979194,7.41935E-06,7.74194E-06,447,0.175311382,9.47075E-06,1.0585E-05,1292,0.593809524,1.15447E-05,1.19024E-05,373,0.239149453,4.95204E-06,5.02982E-06,322,0.224377576,2.06708E-06,1.56006E-07,57,0.063519701,6.90111E-06,7.16552E-06,620,0.277077778,2.66639E-06,2.87309E-06,206,0.144101695,1.6143E-06,1.67195E-06,203,0.159284091,7.99136E-06,8.63931E-06,272,0.152352941,1.61981E-06,1.68675E-06,400,0.431070858,5.25759E-06,5.4693E-06,83,0.044676211,6.75803E-06,7.06141E-06,572,0.425682635
9.36469E-06,1.00248E-05,3813,0.811228513,1.42583E-05,1.56005E-05,560,0.313519608,3.96766E-06,4.24129E-06,780,0.312251462,4.24793E-06,4.40823E-06,186.5,0.174421206,2.90634E-06,3.05564E-06,650.59,0.513979194,8.17742E-06,8.54839E-06,447,0.175311382,1.0585E-05,1.17456E-05,1292,0.593809524,1.20976E-05,1.26504E-05,373,0.239149453,5.02982E-06,5.31501E-06,322,0.224377576,2.18409E-06,2.34009E-07,57,0.063519701,7.45637E-06,7.88824E-06,620,0.277077778,2.83175E-06,3.10045E-06,206,0.144101695,1.55664E-06,1.84491E-06,203,0.159284091,1.00432E-05,1.06911E-05,272,0.152352941,1.71352E-06,1.80723E-06,400,0.431070858,6.38673E-06,6.7043E-06,83,0.044676211,7.47986E-06,7.99247E-06,572,0.425682635
9.5297E-06,1.06023E-05,3813,0.811228513,1.5217E-05,1.66289E-05,560,0.313519608,4.29104E-06,4.6393E-06,780,0.312251462,4.38151E-06,4.62196E-06,186.5,0.174421206,3.18503E-06,3.45377E-06,650.59,0.513979194,8.98387E-06,9.53226E-06,447,0.175311382,1.12349E-05,1.27205E-05,1292,0.593809524,1.25203E-05,1.33659E-05,373,0.239149453,5.2113E-06,5.57428E-06,322,0.224377576,2.18409E-06,2.34009E-07,57,0.063519701,7.94112E-06,8.54927E-06,620,0.277077778,3.18313E-06,3.47251E-06,206,0.144101695,1.84491E-06,2.0467E-06,203,0.159284091,1.04752E-05,1.14471E-05,272,0.152352941,1.91432E-06,2.10174E-06,400,0.431070858,7.62174E-06,8.00988E-06,83,0.044676211,8.29585E-06,8.9026E-06,572,0.425682635
