,Unnamed: 0,anhui,beijing,chongqing,fujian,gansu,guangdong,guangxi,guizhou,hainan,hebei,heilongjiang,henan,hubei,hunan,jiangsu,jiangxi,jilin,liaoning,shaanxi,shandong,shanghai,shanxi,sichuan,taiwan,tianjin,xinjiang,yunnan,zhejiang,south korea,france,australia,malaysia,brazil,germany,uk,italy,belgium,spain,sweden,finland,iran,austria,switzerland,norway,netherlands,denmark,ireland,portugal,washington,california,massachusetts,texas,florida,new york
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,,,,,,,,,,1,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3,,,,,,,,,,,1,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4,,,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,5,,,,,,,,,,1,1,,52,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,6,,,1,,,,,,1,1,1,,76,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,7,,1,,,,,,,1,1,1,2,125,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8,,1,,,,,,,1,1,1,2,162,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,9,,1,,,,,,,1,1,2,2,204,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,10,,1,1,,,,,,1,1,2,2,249,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,11,,1,1,,,,,,1,1,2,2,294,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,12,,1,2,,,,,,1,1,2,2,350,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,13,,1,2,,,,,,1,1,2,2,414,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,14,,1,2,,,,,,1,1,2,2,479,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,15,,1,2,,,,,1,1,1,2,2,479,,,,,,,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,16,,1,2,,,1,,1,2,1,3,3,618,,,,1,,,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,17,,2,2,,1,1,,1,2,1,5,4,699,,,,1,,,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,18,1,2,2,,1,1,1,1,3,2,6,6,780,1,,,1,,,1,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,19,3,2,2,,2,1,1,1,3,2,7,6,871,1,,1,1,,,1,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,20,4,3,2,,2,1,1,1,3,2,8,7,974,1,,1,1,,,1,1,,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,21,4,3,3,,2,1,1,1,3,2,8,8,1068,2,,1,1,,,1,1,,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,22,5,3,3,,2,2,2,1,4,3,9,10,1310,2,,1,1,1,,2,1,,1,,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,23,6,3,4,,2,2,2,1,4,3,11,11,1318,2,,1,1,1,,2,1,,1,,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,24,6,4,5,,2,2,2,1,4,3,11,13,1457,2,,1,1,1,,2,1,,1,,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,25,6,4,5,,2,2,2,1,4,3,11,13,1596,3,,1,1,1,,2,1,,3,,3,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
26,26,6,4,5,,2,4,2,1,4,3,11,16,1696,3,,1,1,1,,2,1,,3,1,3,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
27,27,6,4,5,,2,4,2,1,4,4,11,19,1789,4,,1,1,1,,2,1,,3,1,3,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
28,28,6,4,5,,2,5,2,2,4,4,12,19,1921,4,,1,1,1,,3,2,,3,1,3,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
