,anhui,beijing,chongqing,fujian,gansu,guangdong,guangxi,guizhou,hainan,hebei,heilongjiang,henan,hubei,hunan,jiangsu,jiangxi,jilin,liaoning,shaanxi,shandong,shanghai,shanxi,sichuan,taiwan,tianjin,xinjiang,yunnan,zhejiang,south korea,france,australia,malaysia,brazil,germany,uk,italy,belgium,spain,sweden,finland,iran,austria,switzerland,norway,netherlands,denmark,ireland,portugal,washington,california,massachusetts,texas,florida,new york
0,51.9,57.4,71,48.8,61.7,45.6,52,68.2,48,55.8,66.3,63.4,66.5,69.9,61.1,53.7,61.8,72.1,65.7,60.6,57.4,56,71.8,71.01356507,43.7,71.9,60.3,57.9,103,69,38,18,24,82,30,36,66,32,28,62,17,77,52,33,47,35,49,33,17,18,23,23,26,27
1,51.9,57.4,71,48.8,61.7,45.6,52,68.2,48,55.8,66.3,63.4,66.5,69.9,61.1,53.7,61.8,72.1,65.7,60.6,57.4,56,71.8,71.01356507,43.7,71.9,60.3,57.9,103,69,38,18,24,82,30,36,66,32,28,62,17,77,52,33,47,35,49,33,17,18,23,23,26,27
2,51.9,57.4,71,48.8,61.7,45.6,52,68.2,48,55.8,66.3,63.4,66.5,69.9,61.1,53.7,61.8,72.1,65.7,60.6,57.4,56,71.8,71.01356507,43.7,71.9,60.3,57.9,103,69,38,18,24,82,30,36,66,32,28,62,17,77,52,33,47,35,49,33,17,18,23,23,26,27
3,51.9,57.4,71,48.8,61.7,45.6,52,68.2,48,55.8,66.3,63.4,66.5,69.9,61.1,53.7,61.8,72.1,65.7,60.6,57.4,56,71.8,71.01356507,43.7,71.9,60.3,57.9,103,69,38,18,24,82,30,36,66,32,28,62,17,77,52,33,47,35,49,33,17,18,23,23,26,27
4,51.9,57.4,71,48.8,61.7,45.6,52,68.2,48,55.8,66.3,63.4,66.5,69.9,61.1,53.7,61.8,72.1,65.7,60.6,57.4,56,71.8,71.01356507,43.7,71.9,60.3,57.9,103,69,38,18,24,82,30,36,66,32,28,62,17,77,52,33,47,35,49,33,17,18,23,23,26,27
5,51.9,57.4,71,48.8,61.7,45.6,52,68.2,48,55.8,66.3,63.4,66.5,69.9,61.1,53.7,61.8,72.1,65.7,60.6,57.4,56,71.8,71.01356507,43.7,71.9,60.3,57.9,103,69,38,18,24,82,30,36,66,32,28,62,17,77,52,33,47,35,49,33,17,18,23,23,26,27
6,51.9,57.4,71,48.8,61.7,45.6,52,68.2,48,55.8,66.3,63.4,66.5,69.9,61.1,53.7,61.8,72.1,65.7,60.6,57.4,56,71.8,71.01356507,43.7,71.9,60.3,57.9,103,69,38,18,24,82,30,36,66,32,28,62,17,77,52,33,47,35,49,33,17,18,23,23,26,27
7,51.9,57.4,71,48.8,61.7,45.6,52,68.2,48,55.8,66.3,63.4,66.5,69.9,61.1,53.7,61.8,72.1,65.7,60.6,57.4,56,71.8,71.01356507,43.7,71.9,60.3,57.9,103,69,38,18,24,82,30,36,66,32,28,62,17,77,52,33,47,35,49,33,17,18,23,23,26,27
8,51.9,57.4,71,48.8,61.7,45.6,52,68.2,48,55.8,66.3,63.4,66.5,69.9,61.1,53.7,61.8,72.1,65.7,60.6,57.4,56,71.8,71.01356507,43.7,71.9,60.3,57.9,103,69,38,18,24,82,30,36,66,32,28,62,17,77,52,33,47,35,49,33,17,18,23,23,26,27
9,51.9,57.4,71,48.8,61.7,45.6,52,68.2,48,55.8,66.3,63.4,66.5,69.9,61.1,53.7,61.8,72.1,65.7,60.6,57.4,56,71.8,71.01356507,43.7,71.9,60.3,57.9,103,69,38,18,24,82,30,36,66,32,28,62,17,77,52,33,47,35,49,33,17,18,23,23,26,27
10,51.9,57.4,71,48.8,61.7,45.6,52,68.2,48,55.8,66.3,63.4,66.5,69.9,61.1,53.7,61.8,72.1,65.7,60.6,57.4,56,71.8,71.01356507,43.7,71.9,60.3,57.9,103,69,38,18,24,82,30,36,66,32,28,62,17,77,52,33,47,35,49,33,17,18,23,23,26,27
11,51.9,57.4,71,48.8,61.7,45.6,52,68.2,48,55.8,66.3,63.4,66.5,69.9,61.1,53.7,61.8,72.1,65.7,60.6,57.4,56,71.8,71.01356507,43.7,71.9,60.3,57.9,103,69,38,18,24,82,30,36,66,32,28,62,17,77,52,33,47,35,49,33,17,18,23,23,26,27
