,state,county,category,change,changecalc,dates,values,page
0,California,Alameda County,Retail & recreation,-59,-61.78179499999999,"['2020-02-29', '2020-03-01', '2020-03-02', '2020-03-03', '2020-03-04', '2020-03-05', '2020-03-06', '2020-03-07', '2020-03-08', '2020-03-09', '2020-03-10', '2020-03-11', '2020-03-12', '2020-03-13', '2020-03-14', '2020-03-15', '2020-03-16', '2020-03-17', '2020-03-18', '2020-03-19', '2020-03-20', '2020-03-21', '2020-03-22', '2020-03-23', '2020-03-24', '2020-03-25', '2020-03-26', '2020-03-27', '2020-03-28', '2020-03-29', '2020-03-30', '2020-03-31', '2020-04-01', '2020-04-02', '2020-04-03', '2020-04-04', '2020-04-05', '2020-04-06', '2020-04-07', '2020-04-08', '2020-04-09', '2020-04-10', '2020-04-11']","[2.114, 6.456, 3.985, 4.947, 0.728, 1.041, 1.244, -5.958, -2.367, -0.148, -0.814, -1.011, -0.534, -6.565, -25.816, -26.172, -5.992, -45.961, -47.801, -46.808, -50.901, -60.229, -59.731, -50.91, -52.812, -51.416, -51.311, -54.653, -63.213, -60.384, -50.404, -49.745, -50.204, -51.049, -53.477, -64.811, -67.313, -55.684, -52.339, -54.861, -54.698, -55.389, -61.782]",2
1,California,Alameda County,Grocery & pharmacy,-23,-23.493220000000008,"['2020-02-29', '2020-03-01', '2020-03-02', '2020-03-03', '2020-03-04', '2020-03-05', '2020-03-06', '2020-03-07', '2020-03-08', '2020-03-09', '2020-03-10', '2020-03-11', '2020-03-12', '2020-03-13', '2020-03-14', '2020-03-15', '2020-03-16', '2020-03-17', '2020-03-18', '2020-03-19', '2020-03-20', '2020-03-21', '2020-03-22', '2020-03-23', '2020-03-24', '2020-03-25', '2020-03-26', '2020-03-27', '2020-03-28', '2020-03-29', '2020-03-30', '2020-03-31', '2020-04-01', '2020-04-02', '2020-04-03', '2020-04-04', '2020-04-05', '2020-04-06', '2020-04-07', '2020-04-08', '2020-04-09', '2020-04-10', '2020-04-11']","[6.91, 9.328, 7.277, 12.448, 6.69, 6.132, 5.723, 4.309, 3.791, 6.593, 8.086, 7.443, 16.491, 26.59, 11.442, 5.836, 41.038, -4.379, -10.813, -9.198, -10.319, -18.337, -25.389, -23.669, -22.045, -20.987, -19.971, -20.73, -27.401, -28.142, -24.304, -18.337, -18.795, -18.496, -17.686, -28.65, -37.297, -29.692, -20.669, -25.011, -24.33, -21.506, -23.493]",2
2,California,Alameda County,Parks,-30,-31.378263333333344,"['2020-02-29', '2020-03-01', '2020-03-02', '2020-03-03', '2020-03-04', '2020-03-05', '2020-03-06', '2020-03-07', '2020-03-08', '2020-03-09', '2020-03-10', '2020-03-11', '2020-03-12', '2020-03-13', '2020-03-14', '2020-03-15', '2020-03-16', '2020-03-17', '2020-03-18', '2020-03-19', '2020-03-20', '2020-03-21', '2020-03-22', '2020-03-23', '2020-03-24', '2020-03-25', '2020-03-26', '2020-03-27', '2020-03-28', '2020-03-29', '2020-03-30', '2020-03-31', '2020-04-01', '2020-04-02', '2020-04-03', '2020-04-04', '2020-04-05', '2020-04-06', '2020-04-07', '2020-04-08', '2020-04-09', '2020-04-10', '2020-04-11']","[14.063, 15.714, 7.806, 42.504, 23.999, 12.484, -0.592, -23.866, 14.231, 18.826, 29.938, 32.041, 27.346, 3.608, -57.58, -42.497, -19.088, -10.025, -10.183, 16.381, 0.414, -10.49, -1.482, -24.271, -34.196, -4.411, -1.651, -11.949, -50.572, -14.577, -1.378, 6.18, 0.13, -0.661, -9.997, -62.024, -63.548, -48.41, 4.189, -13.361, -11.097, -6.27, -31.378]",2
3,California,Alameda County,Transit stations,-65,-67.99860666666667,"['2020-02-29', '2020-03-01', '2020-03-02', '2020-03-03', '2020-03-04', '2020-03-05', '2020-03-06', '2020-03-07', '2020-03-08', '2020-03-09', '2020-03-10', '2020-03-11', '2020-03-12', '2020-03-13', '2020-03-14', '2020-03-15', '2020-03-16', '2020-03-17', '2020-03-18', '2020-03-19', '2020-03-20', '2020-03-21', '2020-03-22', '2020-03-23', '2020-03-24', '2020-03-25', '2020-03-26', '2020-03-27', '2020-03-28', '2020-03-29', '2020-03-30', '2020-03-31', '2020-04-01', '2020-04-02', '2020-04-03', '2020-04-04', '2020-04-05', '2020-04-06', '2020-04-07', '2020-04-08', '2020-04-09', '2020-04-10', '2020-04-11']","[-4.571, 1.06, -1.034, -0.504, -2.672, -5.728, -7.467, -14.28, -8.483, -15.989, -16.105, -19.244, -26.24, -31.62, -40.439, -37.278, -45.877, -63.939, -66.856, -68.233, -68.189, -62.627, -63.952, -74.077, -75.164, -72.584, -73.895, -73.094, -70.501, -66.277, -73.515, -73.423, -72.788, -74.776, -72.941, -72.236, -74.76, -78.44, -73.102, -74.237, -75.151, -72.722, -67.999]",2
4,California,Alameda County,Workplace,-45,-47.33146666666668,"['2020-02-29', '2020-03-01', '2020-03-02', '2020-03-03', '2020-03-04', '2020-03-05', '2020-03-06', '2020-03-07', '2020-03-08', '2020-03-09', '2020-03-10', '2020-03-11', '2020-03-12', '2020-03-13', '2020-03-14', '2020-03-15', '2020-03-16', '2020-03-17', '2020-03-18', '2020-03-19', '2020-03-20', '2020-03-21', '2020-03-22', '2020-03-23', '2020-03-24', '2020-03-25', '2020-03-26', '2020-03-27', '2020-03-28', '2020-03-29', '2020-03-30', '2020-03-31', '2020-04-01', '2020-04-02', '2020-04-03', '2020-04-04', '2020-04-05', '2020-04-06', '2020-04-07', '2020-04-08', '2020-04-09', '2020-04-10', '2020-04-11']","[3.254, 4.049, 3.341, 1.212, 0.929, -0.953, -0.318, 0.726, 1.194, -6.281, -9.742, -12.018, -16.6, -17.579, -8.474, -11.827, -37.983, -61.503, -62.613, -63.165, -61.334, -40.707, -42.15, -65.761, -67.371, -66.917, -67.157, -64.481, -45.95, -45.937, -66.899, -68.352, -68.049, -68.728, -66.334, -48.783, -50.714, -69.313, -69.248, -69.153, -69.66, -67.636, -47.331]",2
5,California,Alameda County,Residential,19,20.29405666666667,"['2020-02-29', '2020-03-01', '2020-03-02', '2020-03-03', '2020-03-04', '2020-03-05', '2020-03-06', '2020-03-07', '2020-03-08', '2020-03-09', '2020-03-10', '2020-03-11', '2020-03-12', '2020-03-13', '2020-03-14', '2020-03-15', '2020-03-16', '2020-03-17', '2020-03-18', '2020-03-19', '2020-03-20', '2020-03-21', '2020-03-22', '2020-03-23', '2020-03-24', '2020-03-25', '2020-03-26', '2020-03-27', '2020-03-28', '2020-03-29', '2020-03-30', '2020-03-31', '2020-04-01', '2020-04-02', '2020-04-03', '2020-04-04', '2020-04-05', '2020-04-06', '2020-04-07', '2020-04-08', '2020-04-09', '2020-04-10', '2020-04-11']","[-0.621, -0.493, -0.149, -0.615, 0.328, 0.758, 2.164, 2.701, 1.385, 3.711, 4.532, 5.357, 6.916, 8.171, 8.968, 8.368, 14.122, 26.865, 27.65, 28.012, 29.212, 18.702, 16.073, 28.821, 30.787, 29.863, 30.561, 31.325, 21.165, 17.37, 28.453, 29.457, 29.548, 30.503, 30.937, 21.685, 19.165, 31.069, 30.229, 30.639, 31.515, 31.847, 20.294]",2
6,California,Amador County,Retail & recreation,-35,-41.118418333333345,"['2020-02-29', '2020-03-01', '2020-03-02', '2020-03-03', '2020-03-04', '2020-03-05', '2020-03-06', '2020-03-07', '2020-03-08', '2020-03-09', '2020-03-10', '2020-03-11', '2020-03-12', '2020-03-13', '2020-03-14', '2020-03-15', '2020-03-16', '2020-03-17', '2020-03-18', '2020-03-19', '2020-03-20', '2020-03-21', '2020-03-22', '2020-03-23', '2020-03-24', '2020-03-25', '2020-03-26', '2020-03-27', '2020-03-28', '2020-03-29', '2020-03-30', '2020-03-31', '2020-04-01', '2020-04-02', '2020-04-03', '2020-04-04', '2020-04-05', '2020-04-06', '2020-04-07', '2020-04-08', '2020-04-09', '2020-04-10', '2020-04-11']","[0.914, 1.011, 4.756, 7.44, 2.245, 4.96, 3.299, -2.741, 3.034, 5.232, 9.301, 2.245, 1.804, 2.357, -6.396, -12.136, -27.588, -24.182, -30.083, -32.468, -38.65, -33.808, -40.453, -41.381, -40.923, -42.654, -45.094, -39.121, -42.946, -45.51, -40.43, -42.783, -40.858, -41.937, -42.892, -42.946, -54.612, -46.613, -44.178, -44.899, -46.898, -47.606, -41.118]",2
7,California,Butte County,Retail & recreation,-35,-36.465518333333335,"['2020-02-29', '2020-03-01', '2020-03-02', '2020-03-03', '2020-03-04', '2020-03-05', '2020-03-06', '2020-03-07', '2020-03-08', '2020-03-09', '2020-03-10', '2020-03-11', '2020-03-12', '2020-03-13', '2020-03-14', '2020-03-15', '2020-03-16', '2020-03-17', '2020-03-18', '2020-03-19', '2020-03-20', '2020-03-21', '2020-03-22', '2020-03-23', '2020-03-24', '2020-03-25', '2020-03-26', '2020-03-27', '2020-03-28', '2020-03-29', '2020-03-30', '2020-03-31', '2020-04-01', '2020-04-02', '2020-04-03', '2020-04-04', '2020-04-05', '2020-04-06', '2020-04-07', '2020-04-08', '2020-04-09', '2020-04-10', '2020-04-11']","[10.862, 14.071, 8.301, 13.992, 9.622, 8.27, 6.307, 7.989, 8.055, 5.298, 5.61, 5.223, 6.272, 2.229, -5.92, -10.268, -5.264, -18.892, -20.859, -17.476, -32.702, -39.828, -40.865, -36.004, -42.105, -41.243, -39.507, -42.243, -47.471, -46.742, -37.624, -35.947, -31.114, -34.14, -34.74, -47.874, -49.266, -34.52, -36.302, -38.014, -38.789, -36.942, -36.466]",3
8,California,Butte County,Grocery & pharmacy,-1,-0.8997083333333341,"['2020-02-29', '2020-03-01', '2020-03-02', '2020-03-03', '2020-03-04', '2020-03-05', '2020-03-06', '2020-03-07', '2020-03-08', '2020-03-09', '2020-03-10', '2020-03-11', '2020-03-12', '2020-03-13', '2020-03-14', '2020-03-15', '2020-03-16', '2020-03-17', '2020-03-18', '2020-03-19', '2020-03-20', '2020-03-21', '2020-03-22', '2020-03-23', '2020-03-24', '2020-03-25', '2020-03-26', '2020-03-27', '2020-03-28', '2020-03-29', '2020-03-30', '2020-03-31', '2020-04-01', '2020-04-02', '2020-04-03', '2020-04-04', '2020-04-05', '2020-04-06', '2020-04-07', '2020-04-08', '2020-04-09', '2020-04-10', '2020-04-11']","[11.796, 12.792, 13.779, 14.792, 9.974, 11.865, 5.719, 4.299, 7.31, 8.638, 11.068, 12.545, 14.378, 16.689, 11.596, 5.026, 16.041, 5.069, 2.571, 9.753, 2.438, -3.299, -7.31, -12.751, -16.24, -15.836, -14.579, -13.97, -16.695, -16.79, -19.024, -14.792, -6.992, -11.06, -7.032, -21.093, -24.214, -15.322, -12.62, -13.059, -14.077, -10.501, -0.9]",3
9,California,Butte County,Parks,-22,-23.00994833333333,"['2020-02-29', '2020-03-01', '2020-03-02', '2020-03-03', '2020-03-04', '2020-03-05', '2020-03-06', '2020-03-07', '2020-03-08', '2020-03-09', '2020-03-10', '2020-03-11', '2020-03-12', '2020-03-13', '2020-03-14', '2020-03-15', '2020-03-16', '2020-03-17', '2020-03-18', '2020-03-19', '2020-03-20', '2020-03-21', '2020-03-22', '2020-03-23', '2020-03-24', '2020-03-25', '2020-03-26', '2020-03-27', '2020-03-28', '2020-03-29', '2020-03-30', '2020-03-31', '2020-04-01', '2020-04-02', '2020-04-03', '2020-04-04', '2020-04-05', '2020-04-06', '2020-04-07', '2020-04-08', '2020-04-09', '2020-04-10', '2020-04-11']","[43.221, 34.978, 16.998, 31.841, 41.497, 30.007, 14.029, -4.975, 25.753, 26.586, 42.303, 38.11, 33.008, 14.38, -17.724, -27.675, -22.664, -33.661, -15.667, 29.15, -10.873, -10.883, 9.609, -26.151, -49.127, -30.064, -3.858, -29.111, -53.172, -24.216, -34.868, -6.368, -13.974, -11.145, -21.044, -70.585, -65.729, -28.766, -11.372, -16.938, -31.722, -18.238, -23.01]",3
