,state,county,category,change,changecalc,dates,values,page
0,Connecticut,Fairfield County,Retail & recreation,-56,-58.607139999999994,"['2020-02-23', '2020-02-24', '2020-02-25', '2020-02-26', '2020-02-27', '2020-02-28', '2020-02-29', '2020-03-01', '2020-03-02', '2020-03-03', '2020-03-04', '2020-03-05', '2020-03-06', '2020-03-07', '2020-03-08', '2020-03-09', '2020-03-10', '2020-03-11', '2020-03-12', '2020-03-13', '2020-03-14', '2020-03-15', '2020-03-16', '2020-03-17', '2020-03-18', '2020-03-19', '2020-03-20', '2020-03-21', '2020-03-22', '2020-03-23', '2020-03-24', '2020-03-25', '2020-03-26', '2020-03-27', '2020-03-28', '2020-03-29', '2020-03-30', '2020-03-31', '2020-04-01', '2020-04-02', '2020-04-03', '2020-04-04', '2020-04-05']","[4.037, 2.159, -1.105, 2.685, 1.342, 1.235, 4.957, 4.951, 3.956, 3.519, 5.193, 5.415, 0.154, 6.743, 4.195, 5.528, 3.254, 3.945, 0.796, -9.685, -14.606, -20.288, -12.391, -29.062, -30.44, -36.607, -36.87, -45.268, -50.826, -53.506, -46.367, -50.776, -46.583, -47.646, -57.396, -64.02, -48.315, -48.997, -46.584, -49.814, -53.154, -54.917, -58.607]",2
1,Connecticut,Fairfield County,Grocery & pharmacy,-30,-31.040636666666664,"['2020-02-23', '2020-02-24', '2020-02-25', '2020-02-26', '2020-02-27', '2020-02-28', '2020-02-29', '2020-03-01', '2020-03-02', '2020-03-03', '2020-03-04', '2020-03-05', '2020-03-06', '2020-03-07', '2020-03-08', '2020-03-09', '2020-03-10', '2020-03-11', '2020-03-12', '2020-03-13', '2020-03-14', '2020-03-15', '2020-03-16', '2020-03-17', '2020-03-18', '2020-03-19', '2020-03-20', '2020-03-21', '2020-03-22', '2020-03-23', '2020-03-24', '2020-03-25', '2020-03-26', '2020-03-27', '2020-03-28', '2020-03-29', '2020-03-30', '2020-03-31', '2020-04-01', '2020-04-02', '2020-04-03', '2020-04-04', '2020-04-05']","[-0.334, -0.546, -2.593, 1.624, -1.089, -0.799, 0.028, 4.673, 5.592, 7.977, 9.648, 7.787, 1.804, 6.924, 3.277, 5.721, 8.01, 12.897, 35.833, 27.003, 13.306, 1.851, 20.698, 8.601, 3.746, 0.396, 7.453, -0.484, -17.174, -29.73, -17.531, -21.649, -17.752, -18.367, -24.361, -36.775, -23.173, -21.569, -16.908, -17.653, -16.503, -21.056, -31.041]",2
2,Connecticut,Fairfield County,Parks,6,6.325111666666672,"['2020-02-23', '2020-02-24', '2020-02-25', '2020-02-26', '2020-02-27', '2020-02-28', '2020-02-29', '2020-03-01', '2020-03-02', '2020-03-03', '2020-03-04', '2020-03-05', '2020-03-06', '2020-03-07', '2020-03-08', '2020-03-09', '2020-03-10', '2020-03-11', '2020-03-12', '2020-03-13', '2020-03-14', '2020-03-15', '2020-03-16', '2020-03-17', '2020-03-18', '2020-03-19', '2020-03-20', '2020-03-21', '2020-03-22', '2020-03-23', '2020-03-24', '2020-03-25', '2020-03-26', '2020-03-27', '2020-03-28', '2020-03-29', '2020-03-30', '2020-03-31', '2020-04-01', '2020-04-02', '2020-04-03', '2020-04-04', '2020-04-05']","[74.518, 45.782, 2.715, -1.447, 11.982, 4.149, 21.253, 9.883, 38.066, 19.5, 28.694, 36.678, 1.092, 48.804, 69.774, 109.825, 30.115, 35.446, 6.847, 25.769, 115.187, 73.332, 12.088, 1.728, 51.119, 5.624, 33.63, 92.097, 16.01, -58.385, 22.956, -26.042, 54.284, 54.813, -13.906, -62.46, -5.401, -4.937, 26.042, -5.869, -43.676, 76.354, 6.325]",2
3,Connecticut,Fairfield County,Transit stations,-71,-74.00999666666667,"['2020-02-23', '2020-02-24', '2020-02-25', '2020-02-26', '2020-02-27', '2020-02-28', '2020-02-29', '2020-03-01', '2020-03-02', '2020-03-03', '2020-03-04', '2020-03-05', '2020-03-06', '2020-03-07', '2020-03-08', '2020-03-09', '2020-03-10', '2020-03-11', '2020-03-12', '2020-03-13', '2020-03-14', '2020-03-15', '2020-03-16', '2020-03-17', '2020-03-18', '2020-03-19', '2020-03-20', '2020-03-21', '2020-03-22', '2020-03-23', '2020-03-24', '2020-03-25', '2020-03-26', '2020-03-27', '2020-03-28', '2020-03-29', '2020-03-30', '2020-03-31', '2020-04-01', '2020-04-02', '2020-04-03', '2020-04-04', '2020-04-05']","[18.623, -1.022, -0.877, 0.961, 0.598, 3.171, 6.552, 10.453, -0.256, 0.351, -1.573, 1.025, 0.569, 1.444, 8.41, -5.025, -8.067, -11.885, -17.603, -24.639, -19.656, -26.192, -37.135, -41.824, -43.781, -50.93, -52.043, -48.863, -58.992, -66.861, -60.589, -63.968, -61.782, -63.834, -66.076, -74.851, -66.35, -65.586, -65.628, -69.302, -71.071, -66.076, -74.01]",2
4,Connecticut,Fairfield County,Workplace,-44,-45.59859000000001,"['2020-02-23', '2020-02-24', '2020-02-25', '2020-02-26', '2020-02-27', '2020-02-28', '2020-02-29', '2020-03-01', '2020-03-02', '2020-03-03', '2020-03-04', '2020-03-05', '2020-03-06', '2020-03-07', '2020-03-08', '2020-03-09', '2020-03-10', '2020-03-11', '2020-03-12', '2020-03-13', '2020-03-14', '2020-03-15', '2020-03-16', '2020-03-17', '2020-03-18', '2020-03-19', '2020-03-20', '2020-03-21', '2020-03-22', '2020-03-23', '2020-03-24', '2020-03-25', '2020-03-26', '2020-03-27', '2020-03-28', '2020-03-29', '2020-03-30', '2020-03-31', '2020-04-01', '2020-04-02', '2020-04-03', '2020-04-04', '2020-04-05']","[1.585, 3.524, 2.362, 0.41, 2.21, 2.98, 2.207, 2.171, 3.319, 2.428, 1.001, 2.393, 1.237, 3.332, 0.176, 0.992, -0.499, -4.07, -8.775, -20.112, -3.981, -10.739, -30.468, -38.853, -41.096, -44.056, -44.093, -29.082, -34.977, -54.47, -55.651, -57.622, -56.737, -54.846, -41.416, -45.951, -57.874, -59.742, -60.019, -60.609, -60.405, -44.358, -45.599]",2
5,Connecticut,Fairfield County,Residential,16,16.29221,"['2020-02-23', '2020-02-24', '2020-02-25', '2020-02-26', '2020-02-27', '2020-02-28', '2020-02-29', '2020-03-01', '2020-03-02', '2020-03-03', '2020-03-04', '2020-03-05', '2020-03-06', '2020-03-07', '2020-03-08', '2020-03-09', '2020-03-10', '2020-03-11', '2020-03-12', '2020-03-13', '2020-03-14', '2020-03-15', '2020-03-16', '2020-03-17', '2020-03-18', '2020-03-19', '2020-03-20', '2020-03-21', '2020-03-22', '2020-03-23', '2020-03-24', '2020-03-25', '2020-03-26', '2020-03-27', '2020-03-28', '2020-03-29', '2020-03-30', '2020-03-31', '2020-04-01', '2020-04-02', '2020-04-03', '2020-04-04', '2020-04-05']","[-0.815, -0.602, -0.007, -0.233, -0.05, -0.346, -1.372, -0.595, -0.635, -0.555, -0.807, -0.818, 0.98, -0.772, 0.325, -0.059, 0.885, 1.538, 3.865, 9.981, 4.466, 6.253, 12.308, 17.389, 17.145, 21.172, 21.565, 13.313, 13.727, 26.02, 24.182, 26.116, 25.193, 26.236, 18.313, 17.967, 25.305, 25.954, 25.528, 27.473, 30.802, 17.26, 16.292]",2
6,Connecticut,Hartford County,Retail & recreation,-51,-53.08921833333334,"['2020-02-23', '2020-02-24', '2020-02-25', '2020-02-26', '2020-02-27', '2020-02-28', '2020-02-29', '2020-03-01', '2020-03-02', '2020-03-03', '2020-03-04', '2020-03-05', '2020-03-06', '2020-03-07', '2020-03-08', '2020-03-09', '2020-03-10', '2020-03-11', '2020-03-12', '2020-03-13', '2020-03-14', '2020-03-15', '2020-03-16', '2020-03-17', '2020-03-18', '2020-03-19', '2020-03-20', '2020-03-21', '2020-03-22', '2020-03-23', '2020-03-24', '2020-03-25', '2020-03-26', '2020-03-27', '2020-03-28', '2020-03-29', '2020-03-30', '2020-03-31', '2020-04-01', '2020-04-02', '2020-04-03', '2020-04-04', '2020-04-05']","[8.403, 4.033, 2.79, 7.866, 4.296, 5.098, 11.074, 15.364, 9.226, 7.688, 8.157, 7.471, 0.944, 10.657, 8.643, 7.737, 4.405, 5.902, 5.963, -4.182, -8.448, -13.922, -9.207, -29.8, -28.436, -36.328, -35.419, -41.649, -46.208, -51.075, -47.643, -49.877, -45.231, -45.992, -51.799, -57.967, -46.938, -45.373, -43.349, -47.051, -50.314, -50.617, -53.089]",2
7,Connecticut,Hartford County,Grocery & pharmacy,-25,-25.882389999999994,"['2020-02-23', '2020-02-24', '2020-02-25', '2020-02-26', '2020-02-27', '2020-02-28', '2020-02-29', '2020-03-01', '2020-03-02', '2020-03-03', '2020-03-04', '2020-03-05', '2020-03-06', '2020-03-07', '2020-03-08', '2020-03-09', '2020-03-10', '2020-03-11', '2020-03-12', '2020-03-13', '2020-03-14', '2020-03-15', '2020-03-16', '2020-03-17', '2020-03-18', '2020-03-19', '2020-03-20', '2020-03-21', '2020-03-22', '2020-03-23', '2020-03-24', '2020-03-25', '2020-03-26', '2020-03-27', '2020-03-28', '2020-03-29', '2020-03-30', '2020-03-31', '2020-04-01', '2020-04-02', '2020-04-03', '2020-04-04', '2020-04-05']","[-1.46, 1.736, -1.206, 2.336, 1.256, -1.328, -1.789, 3.106, 6.944, 11.206, 9.73, 9.693, 2.462, 3.979, 3.212, 8.301, 10.521, 14.484, 37.953, 33.918, 15.941, 4.539, 25.146, 8.082, 9.4, 4.014, 14.243, 0.871, -15.556, -24.767, -17.37, -18.909, -14.69, -14.991, -21.168, -32.652, -21.973, -17.726, -9.372, -9.884, -10.525, -16.058, -25.882]",2
8,Connecticut,Hartford County,Parks,31,32.33506833333333,"['2020-02-23', '2020-02-24', '2020-02-25', '2020-02-26', '2020-02-27', '2020-02-28', '2020-02-29', '2020-03-01', '2020-03-02', '2020-03-03', '2020-03-04', '2020-03-05', '2020-03-06', '2020-03-07', '2020-03-08', '2020-03-09', '2020-03-10', '2020-03-11', '2020-03-12', '2020-03-13', '2020-03-14', '2020-03-15', '2020-03-16', '2020-03-17', '2020-03-18', '2020-03-19', '2020-03-20', '2020-03-21', '2020-03-22', '2020-03-23', '2020-03-24', '2020-03-25', '2020-03-26', '2020-03-27', '2020-03-28', '2020-03-29', '2020-03-30', '2020-03-31', '2020-04-01', '2020-04-02', '2020-04-03', '2020-04-04', '2020-04-05']","[84.852, 60.225, 9.047, 2.422, -0.967, -2.475, 29.499, -13.021, 32.827, 26.164, 26.163, 29.727, 2.25, 55.002, 70.747, 118.124, 34.722, 32.219, 10.634, 0.9, 102.016, 63.368, 20.161, -12.226, 50.63, -26.585, 7.199, 124.754, 34.939, -48.335, 10.025, -22.771, 62.113, 67.27, 49.471, -49.696, -11.89, 17.606, 31.734, -2.659, -32.397, 112.77, 32.335]",2
9,Connecticut,Hartford County,Transit stations,-56,-57.843971666666675,"['2020-02-23', '2020-02-24', '2020-02-25', '2020-02-26', '2020-02-27', '2020-02-28', '2020-02-29', '2020-03-01', '2020-03-02', '2020-03-03', '2020-03-04', '2020-03-05', '2020-03-06', '2020-03-07', '2020-03-08', '2020-03-09', '2020-03-10', '2020-03-11', '2020-03-12', '2020-03-13', '2020-03-14', '2020-03-15', '2020-03-16', '2020-03-17', '2020-03-18', '2020-03-19', '2020-03-20', '2020-03-21', '2020-03-22', '2020-03-23', '2020-03-24', '2020-03-25', '2020-03-26', '2020-03-27', '2020-03-28', '2020-03-29', '2020-03-30', '2020-03-31', '2020-04-01', '2020-04-02', '2020-04-03', '2020-04-04', '2020-04-05']","[11.878, 6.024, 2.42, 3.512, 3.232, 5.537, 7.267, 8.789, 3.096, 5.705, 5.14, 3.232, 0.712, 7.057, 7.127, 0.251, 1.642, -2.142, -6.381, -15.186, -9.058, -18.292, -25.435, -30.861, -29.64, -44.086, -41.92, -37.285, -47.629, -55.639, -49.447, -53.454, -52.456, -52.36, -53.821, -63.189, -56.225, -53.683, -50.798, -56.185, -59.004, -52.241, -57.844]",2
