,index,dates,days,Retail & recreation,Grocery & pharmacy,Parks,Transit stations,Workplaces,Residential,country
0,0,'2020-02-23',0,8.514,3.907,28.73,6.24,2.797,-1.031,US
1,1,'2020-02-24',1,2.133,0.897,11.543,1.606,3.47,0.049,US
2,2,'2020-02-25',2,5.036,1.529,11.385,2.695,2.373,-0.174,US
3,3,'2020-02-26',3,9.172,3.082,6.513,4.373,2.748,-0.79,US
4,4,'2020-02-27',4,9.376,4.288,15.316,5.016,2.292,-0.576,US
5,5,'2020-02-28',5,9.993,4.242,12.109,6.675,3.035,-1.607,US
6,6,'2020-02-29',6,14.395,9.187,25.899,9.209,5.504,-2.324,US
7,7,'2020-03-01',7,16.078,11.022,22.195,8.364,3.692,-1.865,US
8,8,'2020-03-02',8,9.101,7.655,12.818,2.117,3.724,-0.716,US
9,9,'2020-03-03',9,13.472,12.34,25.062,3.72,2.53,-1.144,US
10,10,'2020-03-04',10,10.366,7.717,21.435,2.894,3.223,-0.818,US
11,11,'2020-03-05',11,9.984,9.144,26.376,3.017,3.147,-0.833,US
12,12,'2020-03-06',12,6.674,3.389,14.54,2.127,2.509,-0.699,US
13,13,'2020-03-07',13,12.002,10.46,36.628,8.397,5.733,-1.651,US
14,14,'2020-03-08',14,12.227,9.323,50.387,6.729,2.1,-1.334,US
15,15,'2020-03-09',15,7.341,8.095,38.818,-1.213,-0.589,0.301,US
16,16,'2020-03-10',16,7.658,9.336,22.802,-3.233,-1.936,0.779,US
17,17,'2020-03-11',17,9.43,12.591,32.893,-2.697,-1.449,0.23,US
18,18,'2020-03-12',18,7.955,28.262,23.823,-7.865,-3.629,1.364,US
19,19,'2020-03-13',19,1.89,32.357,5.418,-12.809,-8.57,3.543,US
20,20,'2020-03-14',20,-7.918,22.925,3.334,-12.307,-1.237,3.88,US
21,21,'2020-03-15',21,-11.691,14.757,5.92,-16.518,-8.333,4.237,US
22,22,'2020-03-16',22,-9.451,26.539,-1.248,-27.559,-24.834,9.498,US
23,23,'2020-03-17',23,-22.633,17.205,9.811,-32.819,-33.442,13.423,US
24,24,'2020-03-18',24,-29.601,9.495,7.842,-37.854,-38.264,15.792,US
25,25,'2020-03-19',25,-34.922,8.336,1.884,-44.377,-41.765,18.271,US
