,state,county,category,change,changecalc,dates,values,page
0,Florida,Alachua County,Retail & recreation,-57,-59.58791166666667,"['2020-02-23', '2020-02-24', '2020-02-25', '2020-02-26', '2020-02-27', '2020-02-28', '2020-02-29', '2020-03-01', '2020-03-02', '2020-03-03', '2020-03-04', '2020-03-05', '2020-03-06', '2020-03-07', '2020-03-08', '2020-03-09', '2020-03-10', '2020-03-11', '2020-03-12', '2020-03-13', '2020-03-14', '2020-03-15', '2020-03-16', '2020-03-17', '2020-03-18', '2020-03-19', '2020-03-20', '2020-03-21', '2020-03-22', '2020-03-23', '2020-03-24', '2020-03-25', '2020-03-26', '2020-03-27', '2020-03-28', '2020-03-29', '2020-03-30', '2020-03-31', '2020-04-01', '2020-04-02', '2020-04-03', '2020-04-04', '2020-04-05']","[0.628, 0.329, -2.108, 3.182, 9.863, 6.404, 0.372, 3.231, 2.215, 5.019, 3.754, -1.266, 0.088, -1.028, 4.667, 3.706, 4.737, 6.512, 5.718, 2.654, -8.366, -12.182, -8.026, -13.906, -21.359, -25.975, -31.738, -43.602, -46.688, -37.061, -48.085, -48.0, -49.214, -50.102, -56.647, -56.11, -48.07, -46.825, -43.504, -45.947, -49.907, -57.285, -59.588]",2
1,Florida,Alachua County,Grocery & pharmacy,-30,-31.256930000000008,"['2020-02-23', '2020-02-24', '2020-02-25', '2020-02-26', '2020-02-27', '2020-02-28', '2020-02-29', '2020-03-01', '2020-03-02', '2020-03-03', '2020-03-04', '2020-03-05', '2020-03-06', '2020-03-07', '2020-03-08', '2020-03-09', '2020-03-10', '2020-03-11', '2020-03-12', '2020-03-13', '2020-03-14', '2020-03-15', '2020-03-16', '2020-03-17', '2020-03-18', '2020-03-19', '2020-03-20', '2020-03-21', '2020-03-22', '2020-03-23', '2020-03-24', '2020-03-25', '2020-03-26', '2020-03-27', '2020-03-28', '2020-03-29', '2020-03-30', '2020-03-31', '2020-04-01', '2020-04-02', '2020-04-03', '2020-04-04', '2020-04-05']","[-0.139, -1.068, -8.096, -3.478, 5.742, 7.262, 3.712, 5.059, 4.586, 5.376, 1.491, 0.617, 1.078, 2.434, 3.673, 4.272, 4.68, 9.504, 13.831, 17.134, 14.299, 6.931, 11.12, 9.55, 2.982, -0.494, 3.631, -2.495, -11.158, -3.518, -20.808, -20.995, -21.241, -21.446, -22.999, -27.514, -22.869, -23.085, -17.579, -19.944, -21.446, -23.486, -31.257]",2
2,Florida,Alachua County,Parks,-53,-55.607769999999995,"['2020-02-23', '2020-02-24', '2020-02-25', '2020-02-26', '2020-02-27', '2020-02-28', '2020-02-29', '2020-03-01', '2020-03-02', '2020-03-03', '2020-03-04', '2020-03-05', '2020-03-06', '2020-03-07', '2020-03-08', '2020-03-09', '2020-03-10', '2020-03-11', '2020-03-12', '2020-03-13', '2020-03-14', '2020-03-15', '2020-03-16', '2020-03-17', '2020-03-18', '2020-03-19', '2020-03-20', '2020-03-21', '2020-03-22', '2020-03-23', '2020-03-24', '2020-03-25', '2020-03-26', '2020-03-27', '2020-03-28', '2020-03-29', '2020-03-30', '2020-03-31', '2020-04-01', '2020-04-02', '2020-04-03', '2020-04-04', '2020-04-05']","[20.755, 10.698, -43.449, -33.221, 11.082, 3.456, -8.085, 16.447, 12.95, 15.04, 18.581, 1.108, 10.367, 0.933, 14.098, 9.009, 12.812, 15.766, 21.609, 13.823, -11.816, 14.881, 2.815, 8.356, -2.252, -6.649, -17.279, -32.027, -18.797, -21.959, -30.08, -31.532, -14.406, -25.671, -46.953, -33.678, -33.784, -35.094, -20.833, -19.393, -31.596, -49.751, -55.608]",2
3,Florida,Alachua County,Transit stations,-54,-55.839348333333334,"['2020-02-23', '2020-02-24', '2020-02-25', '2020-02-26', '2020-02-27', '2020-02-28', '2020-02-29', '2020-03-01', '2020-03-02', '2020-03-03', '2020-03-04', '2020-03-05', '2020-03-06', '2020-03-07', '2020-03-08', '2020-03-09', '2020-03-10', '2020-03-11', '2020-03-12', '2020-03-13', '2020-03-14', '2020-03-15', '2020-03-16', '2020-03-17', '2020-03-18', '2020-03-19', '2020-03-20', '2020-03-21', '2020-03-22', '2020-03-23', '2020-03-24', '2020-03-25', '2020-03-26', '2020-03-27', '2020-03-28', '2020-03-29', '2020-03-30', '2020-03-31', '2020-04-01', '2020-04-02', '2020-04-03', '2020-04-04', '2020-04-05']","[-4.507, 1.636, -2.264, 1.275, 4.874, 5.217, 0.429, -4.507, -11.635, -6.039, -10.562, -8.485, -9.256, -1.5, 7.011, 1.454, 3.397, -3.278, 0.181, -3.029, -2.786, -8.514, -15.634, -17.172, -23.492, -21.483, -30.627, -27.006, -36.308, -36.177, -41.516, -42.796, -43.147, -45.941, -47.582, -49.83, -44.357, -44.724, -43.524, -43.689, -48.97, -53.155, -55.839]",2
4,Florida,Alachua County,Workplace,-40,-42.101261666666666,"['2020-02-23', '2020-02-24', '2020-02-25', '2020-02-26', '2020-02-27', '2020-02-28', '2020-02-29', '2020-03-01', '2020-03-02', '2020-03-03', '2020-03-04', '2020-03-05', '2020-03-06', '2020-03-07', '2020-03-08', '2020-03-10', '2020-03-11', '2020-03-12', '2020-03-13', '2020-03-14', '2020-03-15', '2020-03-16', '2020-03-17', '2020-03-18', '2020-03-19', '2020-03-20', '2020-03-21', '2020-03-22', '2020-03-23', '2020-03-24', '2020-03-25', '2020-03-26', '2020-03-27', '2020-03-28', '2020-03-29', '2020-03-30', '2020-03-31', '2020-04-01', '2020-04-02', '2020-04-03', '2020-04-04', '2020-04-05']","[0.951, 1.865, -0.266, 0.742, 1.02, -1.113, 0.483, -2.716, -4.321, -4.924, -5.104, -4.791, -4.406, 0.362, -2.037, 0.266, -0.654, -1.153, -3.849, -3.018, -7.47, -19.378, -24.09, -29.444, -32.031, -34.83, -21.123, -29.878, -42.213, -47.957, -50.469, -50.176, -49.579, -33.555, -38.299, -48.308, -49.643, -49.422, -49.421, -50.877, -35.969, -42.101]",2
5,Florida,Alachua County,Residential,14,14.968216666666669,"['2020-02-23', '2020-02-24', '2020-02-25', '2020-02-26', '2020-02-27', '2020-02-28', '2020-02-29', '2020-03-01', '2020-03-02', '2020-03-03', '2020-03-04', '2020-03-05', '2020-03-06', '2020-03-07', '2020-03-08', '2020-03-09', '2020-03-10', '2020-03-11', '2020-03-12', '2020-03-13', '2020-03-14', '2020-03-15', '2020-03-16', '2020-03-17', '2020-03-18', '2020-03-19', '2020-03-20', '2020-03-21', '2020-03-22', '2020-03-23', '2020-03-24', '2020-03-25', '2020-03-26', '2020-03-27', '2020-03-28', '2020-03-29', '2020-03-30', '2020-03-31', '2020-04-01', '2020-04-02', '2020-04-03', '2020-04-04', '2020-04-05']","[-0.054, -0.203, 2.021, 0.699, -1.135, -1.513, -2.092, -0.929, -0.063, 0.217, 0.438, 1.745, -0.058, -1.564, -2.201, -0.351, 0.319, 0.405, 0.916, 1.873, 2.099, 3.53, 7.962, 10.093, 13.061, 14.293, 16.256, 10.242, 10.191, 16.336, 20.803, 21.589, 21.6, 22.946, 13.807, 12.832, 19.846, 21.311, 20.852, 21.361, 23.791, 15.394, 14.968]",2
6,Florida,Baker County,Retail & recreation,-38,-39.93338333333334,"['2020-02-23', '2020-02-24', '2020-02-25', '2020-02-26', '2020-02-27', '2020-02-28', '2020-02-29', '2020-03-01', '2020-03-02', '2020-03-03', '2020-03-04', '2020-03-05', '2020-03-06', '2020-03-07', '2020-03-08', '2020-03-09', '2020-03-10', '2020-03-11', '2020-03-12', '2020-03-13', '2020-03-14', '2020-03-15', '2020-03-16', '2020-03-18', '2020-03-19', '2020-03-20', '2020-03-21', '2020-03-22', '2020-03-23', '2020-03-24', '2020-03-25', '2020-03-26', '2020-03-27', '2020-03-28', '2020-03-29', '2020-03-30', '2020-03-31', '2020-04-01', '2020-04-02', '2020-04-03', '2020-04-04', '2020-04-05']","[6.627, 3.782, -1.331, 16.052, 15.91, 10.002, 15.067, 20.222, 23.721, 20.634, 19.809, 6.604, 6.831, 10.91, 18.182, 15.47, 11.315, 13.661, 15.91, 14.637, 10.131, 10.706, 6.876, 2.732, -6.454, -18.052, -15.846, -22.94, -19.596, -20.301, -16.393, -23.715, -25.127, -26.236, -24.3, -22.002, -18.637, -3.074, -16.511, -34.641, -35.069, -39.933]",2
7,Florida,Baker County,Grocery & pharmacy,-6,-6.009616666666666,"['2020-02-23', '2020-02-24', '2020-02-25', '2020-02-26', '2020-02-27', '2020-02-28', '2020-02-29', '2020-03-01', '2020-03-02', '2020-03-03', '2020-03-04', '2020-03-05', '2020-03-06', '2020-03-07', '2020-03-08', '2020-03-09', '2020-03-10', '2020-03-11', '2020-03-12', '2020-03-13', '2020-03-14', '2020-03-15', '2020-03-16', '2020-03-17', '2020-03-18', '2020-03-19', '2020-03-20', '2020-03-21', '2020-03-22', '2020-03-23', '2020-03-24', '2020-03-25', '2020-03-26', '2020-03-27', '2020-03-28', '2020-03-29', '2020-03-30', '2020-03-31', '2020-04-01', '2020-04-02', '2020-04-03', '2020-04-04', '2020-04-05']","[-0.668, 15.688, 9.862, 9.524, 9.949, 14.349, 21.653, 19.698, 20.08, 20.957, 10.119, 9.949, 14.349, 16.386, 15.692, 16.943, 22.189, 20.238, 26.919, 29.762, 33.357, 29.38, 35.768, 31.435, 27.381, 27.505, 20.727, 31.016, 0.668, 13.178, 15.409, 14.881, 1.17, 3.72, 11.119, -8.681, 2.51, -4.315, 20.238, 18.141, 6.378, 9.363, -6.01]",2
8,Florida,Baker County,Workplace,-30,-31.392695,"['2020-02-23', '2020-02-25', '2020-02-26', '2020-02-28', '2020-02-29', '2020-03-02', '2020-03-03', '2020-03-04', '2020-03-06', '2020-03-07', '2020-03-08', '2020-03-09', '2020-03-10', '2020-03-11', '2020-03-13', '2020-03-14', '2020-03-15', '2020-03-16', '2020-03-17', '2020-03-18', '2020-03-19', '2020-03-20', '2020-03-21', '2020-03-22', '2020-03-23', '2020-03-24', '2020-03-25', '2020-03-26', '2020-03-27', '2020-03-28', '2020-03-29', '2020-03-30', '2020-03-31', '2020-04-01', '2020-04-02', '2020-04-03', '2020-04-04', '2020-04-05']","[-4.281, -0.518, 0.508, -0.531, 2.604, 3.664, 4.146, 4.065, -1.063, 2.604, 1.427, 1.047, 0.518, -0.508, -14.881, -2.604, -2.854, -14.657, -16.584, -21.341, -20.425, -24.447, -1.302, -17.123, -27.743, -25.912, -29.98, -30.127, -30.825, -15.625, -28.539, -29.837, -31.095, -32.012, -33.701, -35.608, -20.833, -31.393]",2
9,Florida,Bay County,Retail & recreation,-49,-50.91422999999999,"['2020-02-23', '2020-02-24', '2020-02-25', '2020-02-26', '2020-02-27', '2020-02-28', '2020-02-29', '2020-03-01', '2020-03-02', '2020-03-03', '2020-03-04', '2020-03-05', '2020-03-06', '2020-03-07', '2020-03-08', '2020-03-09', '2020-03-10', '2020-03-11', '2020-03-12', '2020-03-13', '2020-03-14', '2020-03-15', '2020-03-16', '2020-03-17', '2020-03-18', '2020-03-19', '2020-03-20', '2020-03-21', '2020-03-22', '2020-03-23', '2020-03-24', '2020-03-25', '2020-03-26', '2020-03-27', '2020-03-28', '2020-03-29', '2020-03-30', '2020-03-31', '2020-04-01', '2020-04-02', '2020-04-03', '2020-04-04', '2020-04-05']","[14.088, 3.681, 9.017, 13.314, 15.624, 13.252, 18.479, 19.758, 10.962, 11.545, 12.194, 11.134, 10.78, 16.543, 22.184, 14.351, 13.786, 15.06, 15.979, 14.098, 13.709, 19.553, 10.803, 4.769, -3.465, -8.192, -15.791, -30.229, -34.781, -30.477, -32.446, -31.917, -33.302, -35.591, -41.081, -39.574, -36.064, -38.701, -26.081, -33.505, -46.526, -52.394, -50.914]",3
