,state,county,category,change,changecalc,dates,values,page
0,Washington,Adams County,Transit stations,-17,-39.84517333333334,"['2020-02-29', '2020-03-01', '2020-03-02', '2020-03-03', '2020-03-04', '2020-03-05', '2020-03-06', '2020-03-07', '2020-03-08', '2020-03-09', '2020-03-10', '2020-03-11', '2020-03-12', '2020-03-13', '2020-03-14', '2020-03-15', '2020-03-16', '2020-03-17', '2020-03-18', '2020-03-19', '2020-03-20', '2020-03-21', '2020-03-22', '2020-03-23', '2020-03-24', '2020-03-25', '2020-03-26', '2020-03-27', '2020-03-28', '2020-03-29', '2020-03-30', '2020-03-31', '2020-04-01', '2020-04-02', '2020-04-03', '2020-04-04', '2020-04-05']","[23.555, 24.476, 13.247, 19.608, 20.102, 18.784, 20.349, 18.844, 21.63, 10.838, 11.029, 11.574, 10.815, 27.132, 6.805, 1.708, 4.817, -14.706, -18.275, -15.938, -19.38, -21.985, -24.476, -27.095, -26.348, -30.458, -33.015, -39.729, -34.024, -31.876, -36.729, -31.25, -28.631, -38.707, -41.182, -41.353, -39.845]",2
1,Washington,Adams County,Workplace,-31,20.03205,"['2020-02-29', '2020-03-01', '2020-03-02', '2020-03-03', '2020-03-04', '2020-03-05', '2020-03-06', '2020-03-07', '2020-03-08', '2020-03-09', '2020-03-10', '2020-03-11', '2020-03-12', '2020-03-13', '2020-03-14', '2020-03-15', '2020-03-16', '2020-03-17', '2020-03-18', '2020-03-19', '2020-03-20', '2020-03-21', '2020-03-22', '2020-03-23', '2020-03-24', '2020-03-25', '2020-03-26', '2020-03-27', '2020-03-28', '2020-03-29', '2020-03-30', '2020-03-31', '2020-04-01', '2020-04-02', '2020-04-03', '2020-04-04', '2020-04-05']","[1.736, 28.045, 13.758, 10.016, 11.574, 5.682, 1.653, 3.472, 12.019, 1.965, 4.006, -1.929, 11.364, 41.336, 41.667, 34.054, 37.343, 14.022, 11.574, 3.788, 6.614, 8.681, 14.022, -1.965, 4.006, -5.787, -1.894, -3.307, -3.472, 4.006, -1.965, -16.026, -7.716, -5.682, 1.653, -1.736, 20.032]",2
2,Washington,Asotin County,Retail & recreation,-24,-17.361113333333336,"['2020-02-29', '2020-03-01', '2020-03-02', '2020-03-03', '2020-03-04', '2020-03-05', '2020-03-06', '2020-03-07', '2020-03-08', '2020-03-09', '2020-03-10', '2020-03-11', '2020-03-12', '2020-03-13', '2020-03-14', '2020-03-15', '2020-03-16', '2020-03-17', '2020-03-18', '2020-03-19', '2020-03-20', '2020-03-21', '2020-03-22', '2020-03-23', '2020-03-24', '2020-03-25', '2020-03-26', '2020-03-27', '2020-03-28', '2020-03-29', '2020-03-30', '2020-03-31', '2020-04-01', '2020-04-02', '2020-04-03', '2020-04-04', '2020-04-05', '2020-04-06', '2020-04-07', '2020-04-08', '2020-04-09', '2020-04-10', '2020-04-11']","[43.403, 55.751, 24.74, 10.288, 24.136, 19.46, 23.148, 39.062, 48.415, 32.552, 21.862, 21.596, 18.315, 10.522, 18.808, 27.876, 19.531, 11.574, 17.785, 17.17, 6.313, 7.234, -5.869, -2.604, 2.572, 2.541, -11.447, -26.305, -20.255, -32.277, -13.021, -9.002, -7.622, -26.328, -16.835, -23.148, -16.138, -13.021, -12.86, -5.081, -19.46, -19.992, -17.361]",2
3,Washington,Asotin County,Workplace,-29,-32.32758833333333,"['2020-02-29', '2020-03-01', '2020-03-02', '2020-03-03', '2020-03-04', '2020-03-06', '2020-03-07', '2020-03-08', '2020-03-09', '2020-03-11', '2020-03-12', '2020-03-13', '2020-03-14', '2020-03-15', '2020-03-16', '2020-03-17', '2020-03-18', '2020-03-19', '2020-03-20', '2020-03-21', '2020-03-22', '2020-03-23', '2020-03-24', '2020-03-25', '2020-03-26', '2020-03-27', '2020-03-28', '2020-03-29', '2020-03-30', '2020-03-31', '2020-04-01', '2020-04-02', '2020-04-03', '2020-04-04', '2020-04-05', '2020-04-06', '2020-04-07', '2020-04-08', '2020-04-09', '2020-04-10', '2020-04-11']","[-1.796, 2.17, 3.472, 5.88, 0.84, 2.583, -1.796, 4.34, 0.868, 0.84, 1.653, -1.722, -17.96, -6.51, -1.736, -27.722, -31.082, -32.242, -32.713, -7.184, -19.531, -35.59, -36.962, -36.962, -39.683, -41.322, -23.348, -28.212, -37.326, -37.802, -42.843, -42.989, -40.461, -21.552, -32.552, -40.799, -44.523, -44.523, -45.47, -47.348, -32.328]",2
4,Washington,Benton County,Retail & recreation,-46,-47.566693333333326,"['2020-02-29', '2020-03-01', '2020-03-02', '2020-03-03', '2020-03-04', '2020-03-05', '2020-03-06', '2020-03-07', '2020-03-08', '2020-03-09', '2020-03-10', '2020-03-11', '2020-03-12', '2020-03-13', '2020-03-14', '2020-03-15', '2020-03-16', '2020-03-17', '2020-03-18', '2020-03-19', '2020-03-20', '2020-03-21', '2020-03-22', '2020-03-23', '2020-03-24', '2020-03-25', '2020-03-26', '2020-03-27', '2020-03-28', '2020-03-29', '2020-03-30', '2020-03-31', '2020-04-01', '2020-04-02', '2020-04-03', '2020-04-04', '2020-04-05', '2020-04-06', '2020-04-07', '2020-04-08', '2020-04-09', '2020-04-10', '2020-04-11']","[18.815, 28.889, 12.435, 13.971, 11.66, 9.239, 4.496, 10.763, 15.964, 9.852, 6.827, 10.918, 8.272, -2.75, -18.402, -11.772, -4.612, -24.3, -25.512, -30.419, -34.431, -43.282, -38.215, -30.774, -37.988, -44.734, -47.43, -52.097, -55.335, -48.52, -42.729, -42.126, -39.434, -41.593, -45.38, -53.813, -48.905, -41.143, -40.464, -38.621, -39.492, -44.956, -47.567]",3
5,Washington,Benton County,Grocery & pharmacy,-7,-7.143306666666666,"['2020-02-29', '2020-03-01', '2020-03-02', '2020-03-03', '2020-03-04', '2020-03-05', '2020-03-06', '2020-03-07', '2020-03-08', '2020-03-09', '2020-03-10', '2020-03-11', '2020-03-12', '2020-03-13', '2020-03-14', '2020-03-15', '2020-03-16', '2020-03-17', '2020-03-18', '2020-03-19', '2020-03-20', '2020-03-21', '2020-03-22', '2020-03-23', '2020-03-24', '2020-03-25', '2020-03-26', '2020-03-27', '2020-03-28', '2020-03-29', '2020-03-30', '2020-03-31', '2020-04-01', '2020-04-02', '2020-04-03', '2020-04-04', '2020-04-05', '2020-04-06', '2020-04-07', '2020-04-08', '2020-04-09', '2020-04-10', '2020-04-11']","[9.969, 17.197, 14.022, 16.663, 14.694, 9.284, 2.629, 6.751, 7.345, 6.283, 7.168, 11.699, 22.932, 36.95, 19.546, 10.838, 33.508, 17.594, 13.103, 12.441, 10.064, -6.829, -11.017, -0.091, -8.285, -13.664, -14.762, -21.629, -23.863, -23.646, -18.302, -14.987, -10.95, -8.17, -13.218, -15.464, -17.286, -10.836, -9.495, -9.172, -7.056, -12.392, -7.143]",3
6,Washington,Benton County,Parks,24,24.909420000000004,"['2020-02-29', '2020-03-01', '2020-03-02', '2020-03-03', '2020-03-04', '2020-03-05', '2020-03-06', '2020-03-07', '2020-03-08', '2020-03-09', '2020-03-10', '2020-03-11', '2020-03-12', '2020-03-13', '2020-03-14', '2020-03-15', '2020-03-16', '2020-03-17', '2020-03-18', '2020-03-19', '2020-03-20', '2020-03-21', '2020-03-22', '2020-03-23', '2020-03-24', '2020-03-25', '2020-03-26', '2020-03-27', '2020-03-28', '2020-03-29', '2020-03-30', '2020-03-31', '2020-04-01', '2020-04-02', '2020-04-03', '2020-04-04', '2020-04-05', '2020-04-06', '2020-04-07', '2020-04-08', '2020-04-09', '2020-04-10', '2020-04-11']","[43.78, 75.941, 16.026, 56.916, 78.656, 78.418, 30.924, 42.271, 69.22, 59.095, 53.694, 87.16, 106.507, -15.462, -40.761, -31.586, 41.066, 94.502, 115.859, 150.983, 83.822, 109.45, 72.581, 20.032, 46.177, 14.881, 52.669, 11.393, 7.548, 3.36, -6.01, 37.586, 22.321, 80.758, 13.835, 26.419, 14.113, 65.104, 107.388, 99.915, 153.324, 83.822, 24.909]",3
7,Washington,Benton County,Transit stations,-20,-20.59108666666667,"['2020-02-29', '2020-03-01', '2020-03-02', '2020-03-03', '2020-03-04', '2020-03-05', '2020-03-06', '2020-03-07', '2020-03-08', '2020-03-09', '2020-03-10', '2020-03-11', '2020-03-12', '2020-03-13', '2020-03-14', '2020-03-15', '2020-03-16', '2020-03-18', '2020-03-19', '2020-03-20', '2020-03-21', '2020-03-22', '2020-03-23', '2020-03-24', '2020-03-25', '2020-03-26', '2020-03-27', '2020-03-28', '2020-03-29', '2020-03-30', '2020-03-31', '2020-04-01', '2020-04-02', '2020-04-03', '2020-04-04', '2020-04-05', '2020-04-06', '2020-04-07', '2020-04-08', '2020-04-09', '2020-04-10', '2020-04-11']","[12.718, 30.992, 3.54, 5.456, 13.276, 8.314, 6.127, 13.324, 23.244, 8.596, 4.464, 15.319, 11.248, 0.943, -15.746, 2.583, -1.011, 1.532, -7.336, -2.828, -4.239, 4.304, -13.653, -19.345, -19.914, -22.985, -29.695, -27.253, -12.052, -25.789, -28.77, -26.042, -20.051, -26.395, -24.83, -8.609, -22.755, -23.81, -15.319, -19.562, -20.739, -20.591]",3
8,Washington,Benton County,Workplace,-36,-37.99020166666668,"['2020-02-29', '2020-03-01', '2020-03-02', '2020-03-03', '2020-03-04', '2020-03-05', '2020-03-06', '2020-03-07', '2020-03-09', '2020-03-10', '2020-03-11', '2020-03-12', '2020-03-13', '2020-03-14', '2020-03-15', '2020-03-16', '2020-03-17', '2020-03-18', '2020-03-19', '2020-03-20', '2020-03-21', '2020-03-22', '2020-03-23', '2020-03-24', '2020-03-25', '2020-03-26', '2020-03-27', '2020-03-28', '2020-03-29', '2020-03-30', '2020-03-31', '2020-04-01', '2020-04-02', '2020-04-03', '2020-04-04', '2020-04-05', '2020-04-06', '2020-04-07', '2020-04-08', '2020-04-09', '2020-04-10', '2020-04-11']","[-0.153, 1.255, 2.051, 1.441, 0.822, 1.094, -4.393, 0.766, -0.798, -0.61, 0.164, -2.298, -3.451, -5.362, -12.55, -14.645, -29.16, -33.298, -35.123, -36.521, -22.365, -31.017, -43.878, -47.343, -50.495, -53.615, -50.389, -35.08, -40.878, -54.078, -55.77, -55.917, -56.187, -52.209, -37.837, -41.954, -54.876, -55.881, -56.903, -56.788, -54.468, -37.99]",3
9,Washington,Benton County,Residential,11,11.72410333333333,"['2020-02-29', '2020-03-01', '2020-03-02', '2020-03-03', '2020-03-04', '2020-03-05', '2020-03-06', '2020-03-07', '2020-03-08', '2020-03-09', '2020-03-10', '2020-03-11', '2020-03-12', '2020-03-13', '2020-03-14', '2020-03-15', '2020-03-16', '2020-03-17', '2020-03-18', '2020-03-19', '2020-03-20', '2020-03-21', '2020-03-22', '2020-03-23', '2020-03-24', '2020-03-25', '2020-03-26', '2020-03-27', '2020-03-28', '2020-03-29', '2020-03-30', '2020-03-31', '2020-04-01', '2020-04-02', '2020-04-03', '2020-04-04', '2020-04-05', '2020-04-06', '2020-04-07', '2020-04-08', '2020-04-09', '2020-04-10', '2020-04-11']","[-2.094, -3.191, -1.098, -1.839, -0.948, -1.178, 0.022, -1.072, -1.803, -0.662, -1.018, -0.909, -0.441, 1.823, 5.068, 4.161, 4.296, 8.558, 10.419, 12.486, 12.622, 7.715, 7.258, 15.148, 16.538, 18.851, 20.953, 20.34, 12.925, 10.917, 19.46, 19.808, 20.307, 21.1, 19.975, 12.588, 10.593, 19.106, 18.816, 19.445, 19.789, 18.866, 11.724]",3
