,category,change,values,dates,changecalc,state,page,county
0,Retail & recreation,-49,"[8.514, 2.133, 5.036, 9.172, 9.376, 9.993, 14.395, 16.078, 9.101, 13.472, 10.366, 9.984, 6.674, 12.002, 12.227, 7.341, 7.658, 9.43, 7.955, 1.89, -7.918, -11.691, -9.451, -22.633, -29.601, -34.922, -39.465, -49.566, -54.583, -46.888, -48.949, -50.028, -50.348, -52.628, -59.67, -58.704, -50.248, -49.981, -46.626, -49.866, -52.364, -60.585, -61.142]","['2020-02-23', '2020-02-24', '2020-02-25', '2020-02-26', '2020-02-27', '2020-02-28', '2020-02-29', '2020-03-01', '2020-03-02', '2020-03-03', '2020-03-04', '2020-03-05', '2020-03-06', '2020-03-07', '2020-03-08', '2020-03-09', '2020-03-10', '2020-03-11', '2020-03-12', '2020-03-13', '2020-03-14', '2020-03-15', '2020-03-16', '2020-03-17', '2020-03-18', '2020-03-19', '2020-03-20', '2020-03-21', '2020-03-22', '2020-03-23', '2020-03-24', '2020-03-25', '2020-03-26', '2020-03-27', '2020-03-28', '2020-03-29', '2020-03-30', '2020-03-31', '2020-04-01', '2020-04-02', '2020-04-03', '2020-04-04', '2020-04-05']",-61.14173833333332,US,0,total
1,Grocery & pharmacy,-20,"[3.907, 0.897, 1.529, 3.082, 4.288, 4.242, 9.187, 11.022, 7.655, 12.34, 7.717, 9.144, 3.389, 10.46, 9.323, 8.095, 9.336, 12.591, 28.262, 32.357, 22.925, 14.757, 26.539, 17.205, 9.495, 8.336, 6.453, -2.161, -16.765, -12.742, -14.9, -18.378, -17.25, -20.066, -23.662, -27.871, -21.953, -19.614, -13.517, -14.009, -14.742, -18.716, -25.309]","['2020-02-23', '2020-02-24', '2020-02-25', '2020-02-26', '2020-02-27', '2020-02-28', '2020-02-29', '2020-03-01', '2020-03-02', '2020-03-03', '2020-03-04', '2020-03-05', '2020-03-06', '2020-03-07', '2020-03-08', '2020-03-09', '2020-03-10', '2020-03-11', '2020-03-12', '2020-03-13', '2020-03-14', '2020-03-15', '2020-03-16', '2020-03-17', '2020-03-18', '2020-03-19', '2020-03-20', '2020-03-21', '2020-03-22', '2020-03-23', '2020-03-24', '2020-03-25', '2020-03-26', '2020-03-27', '2020-03-28', '2020-03-29', '2020-03-30', '2020-03-31', '2020-04-01', '2020-04-02', '2020-04-03', '2020-04-04', '2020-04-05']",-25.30864666666666,US,0,total
2,Parks,-20,"[28.73, 11.543, 11.385, 6.513, 15.316, 12.109, 25.899, 22.195, 12.818, 25.062, 21.435, 26.376, 14.54, 36.628, 50.387, 38.818, 22.802, 32.893, 23.823, 5.418, 3.334, 5.92, -1.248, 9.811, 7.842, 1.884, -2.923, -3.609, -14.49, -28.17, -12.38, -9.253, 3.607, -8.854, -31.531, -23.297, -18.211, -20.088, -9.177, -10.647, -25.76, -29.721, -25.336]","['2020-02-23', '2020-02-24', '2020-02-25', '2020-02-26', '2020-02-27', '2020-02-28', '2020-02-29', '2020-03-01', '2020-03-02', '2020-03-03', '2020-03-04', '2020-03-05', '2020-03-06', '2020-03-07', '2020-03-08', '2020-03-09', '2020-03-10', '2020-03-11', '2020-03-12', '2020-03-13', '2020-03-14', '2020-03-15', '2020-03-16', '2020-03-17', '2020-03-18', '2020-03-19', '2020-03-20', '2020-03-21', '2020-03-22', '2020-03-23', '2020-03-24', '2020-03-25', '2020-03-26', '2020-03-27', '2020-03-28', '2020-03-29', '2020-03-30', '2020-03-31', '2020-04-01', '2020-04-02', '2020-04-03', '2020-04-04', '2020-04-05']",-25.336495000000006,US,0,total
3,Transit stations,-54,"[6.24, 1.606, 2.695, 4.373, 5.016, 6.675, 9.209, 8.364, 2.117, 3.72, 2.894, 3.017, 2.127, 8.397, 6.729, -1.213, -3.233, -2.697, -7.865, -12.809, -12.307, -16.518, -27.559, -32.819, -37.854, -44.377, -46.039, -44.802, -54.469, -59.331, -57.313, -59.053, -59.893, -61.258, -61.632, -64.249, -62.945, -61.775, -59.923, -63.198, -64.161, -62.759, -67.1]","['2020-02-23', '2020-02-24', '2020-02-25', '2020-02-26', '2020-02-27', '2020-02-28', '2020-02-29', '2020-03-01', '2020-03-02', '2020-03-03', '2020-03-04', '2020-03-05', '2020-03-06', '2020-03-07', '2020-03-08', '2020-03-09', '2020-03-10', '2020-03-11', '2020-03-12', '2020-03-13', '2020-03-14', '2020-03-15', '2020-03-16', '2020-03-17', '2020-03-18', '2020-03-19', '2020-03-20', '2020-03-21', '2020-03-22', '2020-03-23', '2020-03-24', '2020-03-25', '2020-03-26', '2020-03-27', '2020-03-28', '2020-03-29', '2020-03-30', '2020-03-31', '2020-04-01', '2020-04-02', '2020-04-03', '2020-04-04', '2020-04-05']",-67.10048666666668,US,1,total
4,Workplaces,-40,"[2.797, 3.47, 2.373, 2.748, 2.292, 3.035, 5.504, 3.692, 3.724, 2.53, 3.223, 3.147, 2.509, 5.733, 2.1, -0.589, -1.936, -1.449, -3.629, -8.57, -1.237, -8.333, -24.834, -33.442, -38.264, -41.765, -44.419, -29.991, -39.021, -51.485, -55.691, -57.305, -58.25, -57.884, -42.16, -47.058, -59.504, -61.66, -61.541, -62.316, -61.968, -45.822, -50.039]","['2020-02-23', '2020-02-24', '2020-02-25', '2020-02-26', '2020-02-27', '2020-02-28', '2020-02-29', '2020-03-01', '2020-03-02', '2020-03-03', '2020-03-04', '2020-03-05', '2020-03-06', '2020-03-07', '2020-03-08', '2020-03-09', '2020-03-10', '2020-03-11', '2020-03-12', '2020-03-13', '2020-03-14', '2020-03-15', '2020-03-16', '2020-03-17', '2020-03-18', '2020-03-19', '2020-03-20', '2020-03-21', '2020-03-22', '2020-03-23', '2020-03-24', '2020-03-25', '2020-03-26', '2020-03-27', '2020-03-28', '2020-03-29', '2020-03-30', '2020-03-31', '2020-04-01', '2020-04-02', '2020-04-03', '2020-04-04', '2020-04-05']",-50.039025,US,1,total
5,Residential,13,"[-1.031, 0.049, -0.174, -0.79, -0.576, -1.607, -2.324, -1.865, -0.716, -1.144, -0.818, -0.833, -0.699, -1.651, -1.334, 0.301, 0.779, 0.23, 1.364, 3.543, 3.88, 4.237, 9.498, 13.423, 15.792, 18.271, 20.281, 14.402, 13.144, 21.604, 23.479, 24.104, 24.822, 26.254, 18.294, 15.23, 23.728, 25.272, 24.723, 26.189, 27.784, 18.953, 15.686]","['2020-02-23', '2020-02-24', '2020-02-25', '2020-02-26', '2020-02-27', '2020-02-28', '2020-02-29', '2020-03-01', '2020-03-02', '2020-03-03', '2020-03-04', '2020-03-05', '2020-03-06', '2020-03-07', '2020-03-08', '2020-03-09', '2020-03-10', '2020-03-11', '2020-03-12', '2020-03-13', '2020-03-14', '2020-03-15', '2020-03-16', '2020-03-17', '2020-03-18', '2020-03-19', '2020-03-20', '2020-03-21', '2020-03-22', '2020-03-23', '2020-03-24', '2020-03-25', '2020-03-26', '2020-03-27', '2020-03-28', '2020-03-29', '2020-03-30', '2020-03-31', '2020-04-01', '2020-04-02', '2020-04-03', '2020-04-04', '2020-04-05']",15.686193333333332,US,1,total
0,Retail & recreation,-94,"[8.863, 5.777, -2.542, -0.559, 4.992, -0.794, -1.342, 2.659, -3.652, -3.435, -0.098, -1.743, -1.894, -1.564, 4.431, -1.695, -3.307, -6.195, -16.383, -40.948, -86.607, -108.828, -100.296, -104.003, -104.443, -109.538, -108.485, -114.588, -117.136, -106.079, -108.294, -108.722, -109.04, -110.179, -114.866, -117.187, -110.723, -115.339, -115.159, -114.57, -111.442, -115.11, -117.76]","['2020-02-23', '2020-02-24', '2020-02-25', '2020-02-26', '2020-02-27', '2020-02-28', '2020-02-29', '2020-03-01', '2020-03-02', '2020-03-03', '2020-03-04', '2020-03-05', '2020-03-06', '2020-03-07', '2020-03-08', '2020-03-09', '2020-03-10', '2020-03-11', '2020-03-12', '2020-03-13', '2020-03-14', '2020-03-15', '2020-03-16', '2020-03-17', '2020-03-18', '2020-03-19', '2020-03-20', '2020-03-21', '2020-03-22', '2020-03-23', '2020-03-24', '2020-03-25', '2020-03-26', '2020-03-27', '2020-03-28', '2020-03-29', '2020-03-30', '2020-03-31', '2020-04-01', '2020-04-02', '2020-04-03', '2020-04-04', '2020-04-05']",-117.75952666666669,ES,0,total
1,Grocery & pharmacy,-77,"[12.993, 3.768, -0.686, 5.577, 9.721, -8.465, 4.849, 7.405, 1.615, 3.275, 5.003, 2.721, 2.642, 1.026, 8.422, 5.231, 22.253, 20.849, 34.093, 41.189, -9.797, -61.86, -41.35, -48.445, -45.231, -72.328, -49.042, -66.854, -91.56, -58.062, -62.956, -63.8, -64.542, -61.717, -71.021, -95.407, -69.253, -68.427, -66.009, -64.529, -60.266, -69.729, -95.705]","['2020-02-23', '2020-02-24', '2020-02-25', '2020-02-26', '2020-02-27', '2020-02-28', '2020-02-29', '2020-03-01', '2020-03-02', '2020-03-03', '2020-03-04', '2020-03-05', '2020-03-06', '2020-03-07', '2020-03-08', '2020-03-09', '2020-03-10', '2020-03-11', '2020-03-12', '2020-03-13', '2020-03-14', '2020-03-15', '2020-03-16', '2020-03-17', '2020-03-18', '2020-03-19', '2020-03-20', '2020-03-21', '2020-03-22', '2020-03-23', '2020-03-24', '2020-03-25', '2020-03-26', '2020-03-27', '2020-03-28', '2020-03-29', '2020-03-30', '2020-03-31', '2020-04-01', '2020-04-02', '2020-04-03', '2020-04-04', '2020-04-05']",-95.70482833333335,ES,0,total
2,Parks,-90,"[40.894, 44.421, 21.513, 13.142, 19.497, 40.754, 23.316, 7.33, -8.679, -3.253, 11.565, 1.953, 0.337, 20.707, 23.854, 14.788, 15.23, 20.649, 1.369, -27.075, -55.211, -94.59, -89.605, -91.809, -91.371, -96.171, -98.209, -108.186, -111.802, -96.712, -98.224, -97.997, -98.056, -100.485, -107.804, -111.318, -100.535, -102.906, -101.557, -100.801, -101.883, -107.994, -111.895]","['2020-02-23', '2020-02-24', '2020-02-25', '2020-02-26', '2020-02-27', '2020-02-28', '2020-02-29', '2020-03-01', '2020-03-02', '2020-03-03', '2020-03-04', '2020-03-05', '2020-03-06', '2020-03-07', '2020-03-08', '2020-03-09', '2020-03-10', '2020-03-11', '2020-03-12', '2020-03-13', '2020-03-14', '2020-03-15', '2020-03-16', '2020-03-17', '2020-03-18', '2020-03-19', '2020-03-20', '2020-03-21', '2020-03-22', '2020-03-23', '2020-03-24', '2020-03-25', '2020-03-26', '2020-03-27', '2020-03-28', '2020-03-29', '2020-03-30', '2020-03-31', '2020-04-01', '2020-04-02', '2020-04-03', '2020-04-04', '2020-04-05']",-111.89501500000001,ES,0,total
3,Transit stations,-89,"[14.188, 5.59, 4.344, 1.475, 7.117, 2.85, 6.998, 6.305, -3.232, 0.77, 2.014, 0.305, -0.319, 5.196, 10.29, 0.546, -1.609, -10.683, -20.0, -40.435, -64.932, -88.295, -88.315, -92.899, -95.269, -99.544, -99.387, -104.781, -109.18, -100.842, -101.694, -102.386, -102.811, -103.556, -106.882, -110.251, -105.205, -105.259, -105.416, -105.013, -105.295, -107.212, -111.195]","['2020-02-23', '2020-02-24', '2020-02-25', '2020-02-26', '2020-02-27', '2020-02-28', '2020-02-29', '2020-03-01', '2020-03-02', '2020-03-03', '2020-03-04', '2020-03-05', '2020-03-06', '2020-03-07', '2020-03-08', '2020-03-09', '2020-03-10', '2020-03-11', '2020-03-12', '2020-03-13', '2020-03-14', '2020-03-15', '2020-03-16', '2020-03-17', '2020-03-18', '2020-03-19', '2020-03-20', '2020-03-21', '2020-03-22', '2020-03-23', '2020-03-24', '2020-03-25', '2020-03-26', '2020-03-27', '2020-03-28', '2020-03-29', '2020-03-30', '2020-03-31', '2020-04-01', '2020-04-02', '2020-04-03', '2020-04-04', '2020-04-05']",-111.194585,ES,1,total
4,Workplaces,-68,"[1.321, -8.663, -7.775, -0.392, 0.919, -14.149, -1.673, 1.502, -3.912, 3.679, 3.433, 2.137, -0.656, 0.839, 1.243, 3.264, 2.384, -2.891, -6.599, -21.379, -38.471, -59.951, -65.352, -73.18, -75.55, -88.37, -82.033, -78.198, -81.843, -81.159, -83.697, -84.229, -84.869, -84.474, -79.743, -79.846, -92.124, -94.512, -94.019, -93.998, -92.852, -81.748, -84.463]","['2020-02-23', '2020-02-24', '2020-02-25', '2020-02-26', '2020-02-27', '2020-02-28', '2020-02-29', '2020-03-01', '2020-03-02', '2020-03-03', '2020-03-04', '2020-03-05', '2020-03-06', '2020-03-07', '2020-03-08', '2020-03-09', '2020-03-10', '2020-03-11', '2020-03-12', '2020-03-13', '2020-03-14', '2020-03-15', '2020-03-16', '2020-03-17', '2020-03-18', '2020-03-19', '2020-03-20', '2020-03-21', '2020-03-22', '2020-03-23', '2020-03-24', '2020-03-25', '2020-03-26', '2020-03-27', '2020-03-28', '2020-03-29', '2020-03-30', '2020-03-31', '2020-04-01', '2020-04-02', '2020-04-03', '2020-04-04', '2020-04-05']",-84.46276333333333,ES,1,total
5,Residential,23,"[-3.932, -0.298, 0.657, -0.354, -1.897, 0.271, -1.503, -2.82, 0.94, -0.18, -0.477, -0.24, 0.016, -1.185, -2.237, -0.762, -0.523, 1.361, 3.358, 10.447, 17.768, 21.023, 28.532, 31.8, 32.932, 38.519, 39.823, 32.274, 27.868, 34.68, 36.506, 37.413, 38.086, 41.779, 32.609, 27.199, 38.468, 40.199, 40.782, 41.411, 44.603, 33.025, 28.31]","['2020-02-23', '2020-02-24', '2020-02-25', '2020-02-26', '2020-02-27', '2020-02-28', '2020-02-29', '2020-03-01', '2020-03-02', '2020-03-03', '2020-03-04', '2020-03-05', '2020-03-06', '2020-03-07', '2020-03-08', '2020-03-09', '2020-03-10', '2020-03-11', '2020-03-12', '2020-03-13', '2020-03-14', '2020-03-15', '2020-03-16', '2020-03-17', '2020-03-18', '2020-03-19', '2020-03-20', '2020-03-21', '2020-03-22', '2020-03-23', '2020-03-24', '2020-03-25', '2020-03-26', '2020-03-27', '2020-03-28', '2020-03-29', '2020-03-30', '2020-03-31', '2020-04-01', '2020-04-02', '2020-04-03', '2020-04-04', '2020-04-05']",28.31014666666667,ES,1,total
0,Retail & recreation,-95,"[-6.643, -5.228, -7.45, -16.631, -12.021, -9.998, -12.423, -23.603, -16.779, -8.697, -9.124, -15.373, -18.465, -24.106, -39.445, -37.557, -53.795, -64.979, -87.856, -93.451, -104.208, -112.69, -93.779, -96.352, -98.441, -98.782, -99.82, -107.379, -118.488, -100.142, -101.735, -104.124, -105.23, -103.46, -108.158, -118.122, -101.579, -113.03, -113.009, -112.543, -106.199, -110.65, -118.949]","['2020-02-23', '2020-02-24', '2020-02-25', '2020-02-26', '2020-02-27', '2020-02-28', '2020-02-29', '2020-03-01', '2020-03-02', '2020-03-03', '2020-03-04', '2020-03-05', '2020-03-06', '2020-03-07', '2020-03-08', '2020-03-09', '2020-03-10', '2020-03-11', '2020-03-12', '2020-03-13', '2020-03-14', '2020-03-15', '2020-03-16', '2020-03-17', '2020-03-18', '2020-03-19', '2020-03-20', '2020-03-21', '2020-03-22', '2020-03-23', '2020-03-24', '2020-03-25', '2020-03-26', '2020-03-27', '2020-03-28', '2020-03-29', '2020-03-30', '2020-03-31', '2020-04-01', '2020-04-02', '2020-04-03', '2020-04-04', '2020-04-05']",-118.94887333333335,IT,0,total
1,Grocery & pharmacy,-82,"[20.096, 28.776, 6.268, -6.118, -3.508, -2.892, -2.566, -6.613, -8.341, -1.175, 0.841, 0.516, 0.382, 1.517, 3.209, -1.018, -2.753, -17.994, -29.087, -34.609, -53.269, -74.644, -45.636, -51.095, -54.283, -54.525, -50.078, -64.371, -105.795, -56.767, -59.971, -64.203, -64.86, -57.179, -67.109, -105.992, -58.51, -53.013, -51.464, -50.287, -46.872, -59.638, -102.629]","['2020-02-23', '2020-02-24', '2020-02-25', '2020-02-26', '2020-02-27', '2020-02-28', '2020-02-29', '2020-03-01', '2020-03-02', '2020-03-03', '2020-03-04', '2020-03-05', '2020-03-06', '2020-03-07', '2020-03-08', '2020-03-09', '2020-03-10', '2020-03-11', '2020-03-12', '2020-03-13', '2020-03-14', '2020-03-15', '2020-03-16', '2020-03-17', '2020-03-18', '2020-03-19', '2020-03-20', '2020-03-21', '2020-03-22', '2020-03-23', '2020-03-24', '2020-03-25', '2020-03-26', '2020-03-27', '2020-03-28', '2020-03-29', '2020-03-30', '2020-03-31', '2020-04-01', '2020-04-02', '2020-04-03', '2020-04-04', '2020-04-05']",-102.62902500000001,IT,0,total
2,Parks,-90,"[28.841, 27.501, 24.562, -7.344, -1.494, 13.16, 2.869, -37.239, -32.629, -10.816, 9.873, -14.611, -9.7, 2.353, 1.532, -29.9, -39.875, -39.728, -75.717, -79.714, -97.875, -101.393, -84.232, -85.048, -88.352, -92.451, -96.616, -106.446, -114.317, -101.049, -100.203, -102.959, -105.028, -102.921, -107.105, -112.758, -99.121, -97.116, -96.396, -96.609, -98.033, -105.553, -112.339]","['2020-02-23', '2020-02-24', '2020-02-25', '2020-02-26', '2020-02-27', '2020-02-28', '2020-02-29', '2020-03-01', '2020-03-02', '2020-03-03', '2020-03-04', '2020-03-05', '2020-03-06', '2020-03-07', '2020-03-08', '2020-03-09', '2020-03-10', '2020-03-11', '2020-03-12', '2020-03-13', '2020-03-14', '2020-03-15', '2020-03-16', '2020-03-17', '2020-03-18', '2020-03-19', '2020-03-20', '2020-03-21', '2020-03-22', '2020-03-23', '2020-03-24', '2020-03-25', '2020-03-26', '2020-03-27', '2020-03-28', '2020-03-29', '2020-03-30', '2020-03-31', '2020-04-01', '2020-04-02', '2020-04-03', '2020-04-04', '2020-04-05']",-112.339465,IT,0,total
3,Transit stations,-86,"[7.076, -18.387, -22.872, -28.472, -27.166, -24.611, -20.079, -32.112, -30.656, -25.87, -23.488, -34.557, -35.653, -29.858, -33.737, -52.998, -63.453, -70.888, -83.942, -88.585, -95.17, -100.168, -93.003, -94.444, -96.019, -97.48, -97.879, -100.48, -108.608, -101.231, -100.76, -102.424, -103.96, -102.692, -101.935, -108.214, -100.857, -99.042, -98.24, -98.493, -99.317, -99.936, -107.347]","['2020-02-23', '2020-02-24', '2020-02-25', '2020-02-26', '2020-02-27', '2020-02-28', '2020-02-29', '2020-03-01', '2020-03-02', '2020-03-03', '2020-03-04', '2020-03-05', '2020-03-06', '2020-03-07', '2020-03-08', '2020-03-09', '2020-03-10', '2020-03-11', '2020-03-12', '2020-03-13', '2020-03-14', '2020-03-15', '2020-03-16', '2020-03-17', '2020-03-18', '2020-03-19', '2020-03-20', '2020-03-21', '2020-03-22', '2020-03-23', '2020-03-24', '2020-03-25', '2020-03-26', '2020-03-27', '2020-03-28', '2020-03-29', '2020-03-30', '2020-03-31', '2020-04-01', '2020-04-02', '2020-04-03', '2020-04-04', '2020-04-05']",-107.34715833333333,IT,1,total
4,Workplaces,-62,"[1.297, -17.238, -18.865, -15.506, -14.816, -14.674, -10.696, -6.645, -10.666, -10.167, -10.037, -19.756, -20.845, -18.884, -13.063, -29.803, -39.077, -46.445, -58.462, -66.071, -72.113, -69.092, -72.099, -75.785, -76.648, -78.335, -79.057, -78.263, -79.278, -85.053, -86.475, -87.737, -90.395, -89.067, -81.131, -79.106, -86.648, -87.747, -86.983, -87.097, -86.267, -78.892, -77.82]","['2020-02-23', '2020-02-24', '2020-02-25', '2020-02-26', '2020-02-27', '2020-02-28', '2020-02-29', '2020-03-01', '2020-03-02', '2020-03-03', '2020-03-04', '2020-03-05', '2020-03-06', '2020-03-07', '2020-03-08', '2020-03-09', '2020-03-10', '2020-03-11', '2020-03-12', '2020-03-13', '2020-03-14', '2020-03-15', '2020-03-16', '2020-03-17', '2020-03-18', '2020-03-19', '2020-03-20', '2020-03-21', '2020-03-22', '2020-03-23', '2020-03-24', '2020-03-25', '2020-03-26', '2020-03-27', '2020-03-28', '2020-03-29', '2020-03-30', '2020-03-31', '2020-04-01', '2020-04-02', '2020-04-03', '2020-04-04', '2020-04-05']",-77.82019333333334,IT,1,total
5,Residential,24,"[-0.066, 5.065, 6.554, 7.118, 7.12, 6.407, 4.228, 5.322, 6.217, 5.35, 4.878, 8.714, 9.691, 7.516, 7.497, 14.247, 19.612, 23.32, 30.37, 34.433, 31.234, 27.613, 33.948, 35.693, 36.967, 38.387, 40.129, 33.105, 30.283, 39.521, 40.594, 42.024, 44.074, 44.982, 34.194, 29.848, 39.901, 40.779, 41.151, 42.073, 43.322, 33.586, 30.037]","['2020-02-23', '2020-02-24', '2020-02-25', '2020-02-26', '2020-02-27', '2020-02-28', '2020-02-29', '2020-03-01', '2020-03-02', '2020-03-03', '2020-03-04', '2020-03-05', '2020-03-06', '2020-03-07', '2020-03-08', '2020-03-09', '2020-03-10', '2020-03-11', '2020-03-12', '2020-03-13', '2020-03-14', '2020-03-15', '2020-03-16', '2020-03-17', '2020-03-18', '2020-03-19', '2020-03-20', '2020-03-21', '2020-03-22', '2020-03-23', '2020-03-24', '2020-03-25', '2020-03-26', '2020-03-27', '2020-03-28', '2020-03-29', '2020-03-30', '2020-03-31', '2020-04-01', '2020-04-02', '2020-04-03', '2020-04-04', '2020-04-05']",30.037003333333335,IT,1,total
0,Retail & recreation,-85,"[10.566, 3.224, 1.507, -6.619, -6.671, -0.989, -9.074, 1.346, -7.391, -1.74, -7.294, -9.682, -2.634, -5.234, 0.605, -5.683, -5.831, -7.184, -9.986, -9.38, -26.609, -47.214, -53.551, -84.922, -103.439, -103.058, -104.101, -109.94, -107.793, -101.6, -103.211, -105.41, -104.584, -104.513, -109.305, -110.009, -104.492, -111.991, -112.938, -112.144, -106.916, -110.463, -106.804]","['2020-02-23', '2020-02-24', '2020-02-25', '2020-02-26', '2020-02-27', '2020-02-28', '2020-02-29', '2020-03-01', '2020-03-02', '2020-03-03', '2020-03-04', '2020-03-05', '2020-03-06', '2020-03-07', '2020-03-08', '2020-03-09', '2020-03-10', '2020-03-11', '2020-03-12', '2020-03-13', '2020-03-14', '2020-03-15', '2020-03-16', '2020-03-17', '2020-03-18', '2020-03-19', '2020-03-20', '2020-03-21', '2020-03-22', '2020-03-23', '2020-03-24', '2020-03-25', '2020-03-26', '2020-03-27', '2020-03-28', '2020-03-29', '2020-03-30', '2020-03-31', '2020-04-01', '2020-04-02', '2020-04-03', '2020-04-04', '2020-04-05']",-106.80406,FR,0,total
