,Unnamed: 0,anhui,beijing,chongqing,fujian,gansu,guangdong,guangxi,guizhou,hainan,hebei,heilongjiang,henan,hubei,hunan,jiangsu,jiangxi,jilin,liaoning,shaanxi,shandong,shanghai,shanxi,sichuan,taiwan,tianjin,xinjiang,yunnan,zhejiang,south korea,france,australia,malaysia,brazil,germany,uk,italy,belgium,spain,sweden,finland,iran,austria,switzerland,norway,netherlands,denmark,ireland,portugal,washington,california,massachusetts,texas,florida,new york
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,,,,,,2,,,,,,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3,,1,,,,2,,,,,,,31,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4,,2,,,,2,,,,,,,32,,1,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
5,5,,2,,,,2,,,,,,,42,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,6,,2,,,,3,,,,,,,45,,1,1,,,,,3,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
7,7,2,4,1,,,5,2,1,,,,1,80,,1,3,,,,1,4,,1,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8,2,5,1,,,6,2,1,1,,,2,90,2,1,4,1,1,,1,5,1,1,,,,,4,,,2,,,,,,,,,,,,,,,,,,,,,,,
9,9,3,5,1,,,10,2,1,1,,,3,116,2,2,7,1,1,,2,5,1,1,,,,,9,,,2,,,,,,,,,,,,,,,,,,,,,,,
10,10,4,5,2,,,14,2,1,1,,,3,166,3,5,9,1,1,,3,10,1,3,,,,2,19,,,2,,,,,,,,,,,,,,,,,,,,,,,
11,11,5,9,3,,,14,2,2,1,3,2,4,215,8,6,10,1,1,,5,10,1,3,,,,4,23,,,2,,,,,,,,,,,,,,,,,,,,,,,
12,12,7,9,7,,3,14,2,2,4,3,2,14,295,16,7,18,1,1,,6,10,2,12,,1,,3,36,,,2,,,,,,,,,,,,,,,,,,,,,,,
13,13,14,12,9,1,3,21,7,2,4,3,2,20,396,26,8,19,1,1,1,7,10,2,14,,1,,5,48,1,,3,,,,,,,,,,,,,,,,,,,,,,,
14,14,20,23,14,7,4,32,10,5,5,4,4,41,520,35,13,27,1,2,2,13,12,4,23,,2,,5,63,1,,3,,,,,,,,,1,,,,,,,,,1,,,,,
15,15,23,24,15,11,6,41,14,8,5,6,7,50,532,48,22,28,2,4,6,15,15,5,24,,2,,5,77,1,,3,1,,,,,,,,1,,,,,,,,,1,,,,,
16,16,47,33,24,15,9,69,17,6,8,16,9,68,819,101,38,45,4,5,11,31,30,12,40,1,2,,9,100,1,,3,1,,,,,,,,1,,,,,,,,,1,,,,,
17,17,54,34,31,20,9,101,17,7,11,28,13,98,1115,128,43,55,4,7,17,42,41,18,53,1,2,,12,128,2,,3,1,,,,,,,,1,,,,,,,,,1,,,,,
18,18,65,37,39,26,13,127,18,7,15,30,14,131,1440,159,64,72,5,8,24,53,44,21,62,1,4,,17,185,3,,3,2,,,,,,,,1,,,,,,,,,1,,,,,
19,19,81,44,51,36,16,149,18,7,19,35,20,179,1795,200,78,102,12,12,26,63,48,25,78,1,4,,19,213,3,,3,2,,,,,,,,1,,,,,,,,,1,,,,,
20,20,88,48,66,39,21,185,30,10,20,41,27,198,2222,222,87,127,13,14,32,72,52,26,82,1,8,3,19,250,3,,3,3,,,,,,,,1,,,,,,,,,1,,,,,
21,21,117,56,79,46,24,241,31,17,20,48,28,231,2639,263,103,152,18,19,36,80,57,30,85,1,10,3,22,279,3,,5,3,,,,,,,,1,,,,,,,,,1,,,,,
22,22,130,68,102,54,32,284,33,20,27,56,31,258,3441,312,131,170,22,21,44,101,62,33,94,1,11,3,23,327,7,,5,3,,,1,,,,,1,,,,,,,,,1,,,,,
23,23,166,79,128,59,39,332,35,28,30,72,37,316,3862,360,143,187,25,24,53,111,90,36,105,1,21,6,27,367,7,,5,3,,1,1,,,,,1,,,,,,,,,1,,,,,
24,24,215,97,152,66,45,390,40,40,38,86,48,358,4774,402,171,210,25,29,55,148,124,43,120,1,32,6,42,417,7,,5,3,,1,1,,,,,1,,,,,,,,,1,,,,,
