,anhui,beijing,chongqing,fujian,gansu,guangdong,guangxi,guizhou,hainan,hebei,heilongjiang,henan,hubei,hunan,jiangsu,jiangxi,jilin,liaoning,shaanxi,shandong,shanghai,shanxi,sichuan,taiwan,tianjin,xinjiang,yunnan,zhejiang,south korea,france,australia,malaysia,brazil,germany,uk,italy,belgium,spain,sweden,finland,iran,austria,switzerland,norway,netherlands,denmark,ireland,portugal,washington,california,massachusetts,texas,florida,new york
0,,10,5,,,17,,,,,,1,270,1,,2,,,,1,9,,2,1,2,,1,5,1,,,,,,,,,,,,,,,,,,,,1,,,,,
1,1,14,6,1,,26,2,1,4,1,,5,444,4,1,2,,2,,2,9,1,5,1,4,,1,10,1,,,,,,,,,,,,,,,,,,,,1,,,,,
2,9,22,9,5,2,32,5,3,5,1,2,5,444,9,5,7,1,3,3,6,16,1,8,1,4,2,2,27,1,,,,,,,,,,,,,,,,,,,,1,2,,,,
3,15,36,27,10,2,53,23,3,8,2,4,24,549,24,9,18,3,4,5,15,20,1,15,3,8,2,5,43,2,2,,,,,,,,,,,,,,,,,,,1,2,,,,
4,39,41,57,18,4,78,23,4,19,8,9,32,761,43,18,18,4,17,15,27,33,6,28,3,10,3,11,62,2,3,4,3,,,,,,,,,,,,,,,,,1,2,,,,
5,60,68,75,35,7,111,36,5,22,13,15,83,1058,69,33,36,4,21,22,46,40,9,44,4,14,4,16,104,3,3,4,4,,,,,,,,,,,,,,,,,1,2,,,,
6,70,72,110,56,14,151,46,7,33,18,21,128,1423,100,47,48,6,27,35,75,53,13,69,5,22,5,26,128,4,3,5,4,,,,,,,,,,,,,,,,,1,2,,,,
7,152,92,142,82,24,224,58,9,43,48,37,205,3284,220,99,107,9,37,56,120,71,27,106,7,25,13,50,291,3,4,5,7,,4,,,,,,,,,,,,,,,0,2,,,,
8,199,100,159,100,26,285,76,11,42,64,43,273,4142,273,128,160,14,39,63,143,92,34,137,7,25,14,69,418,3,5,7,8,,4,,,,,,,,,,,,,,,0,2,,,,
9,228,99,197,96,27,361,82,12,44,81,57,347,5362,323,163,233,13,42,63,172,112,38,169,8,28,15,74,510,6,6,9,8,,4,,,,,,1,,,,,,,,,0,3,,,,
10,282,120,211,134,33,467,77,26,49,94,76,398,6604,365,193,268,14,56,96,187,149,46,192,7,29,16,86,556,9,4,10,8,,7,,2,,,,1,,,,,,,,,0,3,,,,
11,301,127,205,126,36,526,88,34,44,96,86,461,8313,420,218,315,19,47,86,198,144,50,203,7,35,18,82,599,13,3,8,5,,8,2,2,,1,1,1,,,,,,,,,0,3,,,,
12,348,123,225,124,44,572,91,41,48,100,103,483,10119,452,238,355,27,49,106,200,153,57,210,6,40,20,89,620,12,3,8,4,,10,2,2,,1,1,1,,,,,,,,,0,3,,,,
13,410,140,227,123,41,646,93,49,46,108,134,547,12099,493,261,428,36,47,93,195,155,61,213,5,38,24,91,701,11,3,7,4,,12,2,2,,1,1,1,,,,,,,,,0,4,,,,
14,378,126,219,112,33,629,92,55,46,87,153,558,13124,440,242,439,45,44,86,177,153,54,193,3,40,19,71,599,12,2,8,3,,8,2,2,1,1,1,1,,,,,,,,,0,4,,,,
15,330,139,211,104,31,584,72,52,53,70,147,486,12092,384,212,386,40,47,102,162,142,46,159,3,40,18,54,467,15,1,7,4,,8,2,2,1,1,1,1,,,,,,,,,0,4,,,,
16,428,176,205,123,38,625,85,62,66,89,218,562,16306,440,240,421,51,49,118,201,149,57,167,7,49,22,59,469,17,0,6,6,,9,3,3,1,1,1,0,,,,,,,,,0,1,,,,
17,436,159,188,95,36,555,83,60,67,99,215,559,17800,414,237,412,52,39,94,205,117,57,156,7,51,24,47,449,13,0,5,7,,6,3,1,1,1,1,0,,,,,,,,,0,1,1,,,
18,439,158,184,106,39,516,84,58,65,102,212,540,18026,375,232,407,55,41,107,210,116,59,155,7,45,24,47,414,10,5,3,8,,5,1,1,1,0,0,0,,,,,,,,,0,1,1,,,
19,422,146,168,102,32,468,83,63,66,105,213,507,18454,358,221,380,49,37,85,213,106,53,151,8,40,25,36,368,12,5,3,10,,4,2,1,1,1,0,0,,,,,,,,,0,1,1,,,
20,380,130,149,88,31,380,76,62,63,113,205,430,18206,319,207,328,39,34,91,216,95,48,135,8,42,26,32,288,13,5,3,10,,2,6,1,1,1,0,0,,,,,,,,,0,1,1,,,
21,359,124,139,78,29,349,72,67,62,116,188,371,16688,285,202,296,29,35,83,199,73,43,135,7,40,27,32,236,12,5,2,8,,4,6,1,0,1,0,0,,,,,,,,,0,1,1,,,
22,380,113,142,74,30,346,72,71,58,130,205,405,31528,307,229,324,30,28,64,199,70,45,150,7,44,31,31,250,9,5,1,6,,4,7,1,0,1,0,0,,,,,,,,,0,2,1,,,
23,269,75,118,57,24,243,54,63,43,112,141,270,29874,216,185,239,21,23,46,140,41,30,119,2,39,26,27,149,4,5,0,5,,3,6,0,0,1,0,0,,,,,,,,,0,2,1,1,,
24,217,60,111,46,19,219,52,54,38,96,130,231,29453,198,165,215,19,20,37,123,40,23,107,1,33,28,30,114,4,5,0,6,,3,6,0,0,1,0,0,,,,,,,,,0,2,0,1,,
25,183,54,98,37,11,196,42,48,34,94,138,198,29149,166,149,185,11,15,28,102,35,13,95,1,32,26,29,92,4,1,0,6,,3,6,0,0,1,0,0,,,,,,,,,0,2,0,1,,
26,143,44,83,29,7,171,28,37,27,83,126,173,28551,127,134,159,9,14,27,82,33,10,90,2,31,26,30,79,3,1,0,4,,2,5,0,0,0,0,0,,,,,,,,,0,2,0,1,,
27,122,45,67,25,5,151,27,28,21,63,104,152,28261,95,114,129,8,13,21,57,30,8,91,4,25,21,23,55,3,1,0,4,,2,1,0,0,0,0,0,,,,,,,,,0,1,0,1,,
28,97,41,50,21,5,112,22,15,12,55,92,127,28316,62,88,90,7,5,17,47,27,7,78,4,21,17,19,43,18,1,0,4,,0,1,0,0,0,0,0,,,,,,,,,0,1,0,1,,
29,77,29,42,14,4,91,23,11,11,42,81,96,13825,42,61,62,7,5,16,40,20,5,69,6,17,13,17,30,54,1,0,4,,0,0,0,0,0,0,0,,,,,,,,,0,0,0,1,,
30,54,24,38,12,0,72,20,6,10,25,61,83,10676,23,38,34,5,4,15,229,16,6,62,6,11,11,12,48,128,1,0,3,,0,0,0,0,0,0,0,5,,,,,,,,0,1,0,0,,
31,38,21,30,8,1,39,11,3,6,17,54,55,8256,10,27,21,3,2,13,219,8,5,55,8,11,6,6,41,128,1,0,1,,0,0,0,0,0,0,0,5,,,,,,,,0,1,0,0,,
32,27,19,29,6,1,26,12,2,6,11,35,40,7835,12,14,9,2,1,9,217,7,4,45,8,13,5,5,38,527,0,2,0,,0,0,76,0,0,0,0,28,,,,,,,,0,2,0,0,,
33,16,18,24,3,1,20,13,0,5,10,23,25,5902,10,5,4,4,0,5,213,3,3,31,8,10,1,3,34,572,0,2,0,,0,4,154,0,0,0,0,43,,,,,,,,0,2,0,0,,
34,7,13,23,2,0,19,10,0,5,9,16,14,4797,9,2,1,4,0,5,212,2,3,21,8,8,0,2,33,862,0,7,0,1,0,4,229,0,1,0,0,61,,,,,,,,0,2,0,0,,
35,3,7,21,1,0,16,8,0,5,6,10,9,3505,8,0,0,3,0,3,212,3,2,17,10,7,0,1,31,1100,2,8,0,1,2,4,320,0,5,0,0,95,2,1,,,,,,0,2,0,0,,
36,2,15,16,3,0,15,7,0,0,10,4,7,3565,7,0,0,2,0,0,210,4,2,14,8,5,0,2,30,1513,6,8,0,1,11,4,467,0,11,1,1,139,2,1,,,,,,0,1,0,0,,
37,2,14,9,3,0,15,6,0,0,10,1,5,3252,6,0,1,2,0,0,8,3,1,13,8,5,0,0,2,1866,26,8,1,1,32,7,650,0,23,6,1,265,3,9,1,,,,,0,0,0,0,,
38,2,14,9,3,0,15,6,0,0,10,1,5,3252,6,0,1,2,0,0,7,3,1,13,8,4,0,0,2,2181,29,9,3,1,37,10,650,0,23,6,1,383,5,15,4,2,,,,0,0,0,0,,
39,1,12,3,3,0,7,3,0,0,7,0,1,2823,2,0,1,2,1,0,2,2,1,12,13,1,0,0,0,2970,88,9,3,2,83,14,1049,0,56,12,2,565,10,24,15,7,3,,,2,0,0,0,,
40,1,15,1,3,0,8,1,0,0,7,0,1,3019,2,0,1,0,1,0,4,2,1,12,13,1,0,0,0,3554,118,13,7,2,114,23,1556,1,72,12,5,935,14,27,19,10,3,1,,7,0,0,0,2,
41,1,14,0,2,0,3,0,0,0,7,0,1,2431,2,0,1,0,4,0,3,3,0,9,11,1,0,0,8,3919,179,12,7,1,141,27,1852,7,121,14,6,1440,16,38,25,18,4,1,2,16,5,0,0,2,1
42,1,17,0,2,0,3,0,0,0,6,0,1,2145,2,0,1,0,4,0,2,2,0,7,10,1,0,0,8,4182,198,17,14,1,178,38,2179,12,158,29,6,2241,22,45,33,24,10,2,2,16,11,0,0,2,1
43,1,8,0,0,0,3,0,0,0,1,1,0,1870,1,0,1,0,4,0,2,1,0,5,10,1,0,0,10,4171,267,30,28,2,324,74,2674,22,210,50,5,2783,27,79,57,38,15,6,6,23,15,1,0,2,2
44,0,12,0,0,11,3,0,0,0,0,1,0,1678,1,0,0,0,4,0,2,2,0,1,12,0,0,0,10,4262,385,37,32,7,452,100,3274,49,223,87,10,3243,38,102,85,82,20,13,9,23,15,1,0,2,2
45,0,16,0,0,28,4,0,0,0,0,1,0,1752,1,0,0,0,4,0,2,5,0,1,11,0,0,0,10,4430,612,42,58,12,617,144,4027,108,375,130,13,4359,50,195,109,126,23,18,9,82,70,7,16,4,35
46,0,17,0,0,29,3,0,0,0,0,1,0,800,0,0,0,0,3,0,2,5,0,1,6,0,0,0,10,3608,849,50,68,17,701,183,4884,168,458,148,16,5230,69,204,132,181,24,19,18,103,82,12,18,7,76
47,0,14,0,0,33,2,0,0,0,0,1,0,640,0,0,0,0,3,0,0,5,0,1,4,0,0,0,10,3226,1079,53,70,23,910,237,5711,198,599,190,19,5588,90,310,157,255,32,20,30,108,92,27,21,8,106
48,0,15,0,0,33,3,0,0,0,0,1,0,543,0,0,0,0,0,0,0,4,0,1,4,0,0,0,2,2703,1221,67,88,28,994,279,7136,231,1099,245,26,5660,115,299,151,303,86,23,28,149,99,40,23,11,142
49,0,18,0,0,34,3,0,0,0,0,2,0,441,0,0,0,0,0,0,0,6,0,1,5,0,0,0,2,2187,1572,77,93,32,1369,322,7647,254,1530,325,33,5706,158,451,367,358,252,32,28,254,136,91,27,13,172
50,0,17,0,0,36,6,0,0,0,0,1,1,315,0,0,0,0,0,0,2,6,0,0,6,0,0,0,0,2103,1999,76,99,49,1615,373,9318,291,2054,448,58,6078,217,572,572,465,499,37,53,346,142,93,32,21,216
51,0,14,0,0,25,5,0,0,0,0,1,1,194,0,0,0,0,0,0,2,7,0,0,5,0,0,0,0,1695,2453,99,103,69,2245,480,11458,349,2898,593,97,6562,320,757,714,532,654,57,50,382,174,106,34,28,323
52,0,11,0,0,10,4,0,0,0,0,1,1,124,0,0,0,0,0,0,2,8,0,0,5,0,0,0,12,1319,3008,133,114,138,3005,635,12980,450,4832,677,140,6617,449,929,883,676,778,72,103,489,168,115,33,47,386
53,0,14,0,0,12,5,0,0,0,0,1,1,87,0,0,0,0,0,0,2,11,0,0,8,0,0,0,16,1028,3551,172,145,132,3802,934,15145,520,5877,800,206,6906,586,1147,961,771,800,110,151,540,155,125,37,70,448
54,0,18,0,0,9,9,0,0,0,0,1,1,55,0,0,0,0,0,0,2,13,0,0,14,0,0,1,16,854,4214,230,329,175,3798,1099,17514,686,7080,820,219,7372,756,1883,1080,870,829,148,215,657,279,136,45,105,623
