,state,county,category,change,changecalc,dates,values,page
0,Texas,Anderson County,Retail & recreation,-23,-24.35836833333333,"['2020-02-16', '2020-02-17', '2020-02-18', '2020-02-19', '2020-02-20', '2020-02-21', '2020-02-22', '2020-02-23', '2020-02-24', '2020-02-25', '2020-02-26', '2020-02-27', '2020-02-28', '2020-02-29', '2020-03-01', '2020-03-02', '2020-03-03', '2020-03-04', '2020-03-05', '2020-03-06', '2020-03-07', '2020-03-08', '2020-03-09', '2020-03-10', '2020-03-11', '2020-03-12', '2020-03-13', '2020-03-14', '2020-03-15', '2020-03-16', '2020-03-17', '2020-03-18', '2020-03-19', '2020-03-20', '2020-03-21', '2020-03-22', '2020-03-23', '2020-03-24', '2020-03-25', '2020-03-26', '2020-03-27', '2020-03-28', '2020-03-29']","[7.327, 0.693, 1.748, -5.54, 3.467, 3.996, 0.878, -4.357, 9.533, 11.36, 22.25, 17.169, 15.157, 11.704, 16.833, 14.906, 21.672, 12.442, 18.984, 8.543, 9.51, 14.061, 7.626, 16.429, 24.43, 16.013, 9.232, -0.585, -0.99, 0.867, -1.049, -3.905, -11.06, -23.286, -35.112, -37.825, -24.438, -19.051, -18.254, -20.14, -24.939, -33.064, -24.358]",2
1,Texas,Anderson County,Grocery & pharmacy,1,1.081313333333339,"['2020-02-16', '2020-02-17', '2020-02-18', '2020-02-19', '2020-02-20', '2020-02-21', '2020-02-22', '2020-02-23', '2020-02-24', '2020-02-25', '2020-02-26', '2020-02-27', '2020-02-28', '2020-02-29', '2020-03-01', '2020-03-02', '2020-03-03', '2020-03-04', '2020-03-05', '2020-03-06', '2020-03-07', '2020-03-08', '2020-03-09', '2020-03-10', '2020-03-11', '2020-03-12', '2020-03-13', '2020-03-14', '2020-03-15', '2020-03-16', '2020-03-17', '2020-03-18', '2020-03-19', '2020-03-20', '2020-03-21', '2020-03-22', '2020-03-23', '2020-03-24', '2020-03-25', '2020-03-26', '2020-03-27', '2020-03-28', '2020-03-29']","[10.092, -2.841, -4.091, -9.043, -0.947, 5.378, 0.901, 3.604, -0.947, -0.629, 7.034, 5.682, 14.153, 16.511, 15.499, 7.576, 8.497, 5.359, 13.258, 10.19, 12.908, 19.103, 9.154, 10.7, 22.776, 26.515, 32.552, 23.715, 29.196, 17.992, 16.05, 25.121, 26.515, 20.097, 11.107, 5.407, 5.997, 5.665, 9.043, 3.472, 3.68, -3.902, 1.081]",2
2,Texas,Anderson County,Workplace,-22,-22.81021833333334,"['2020-02-16', '2020-02-17', '2020-02-19', '2020-02-20', '2020-02-21', '2020-02-22', '2020-02-23', '2020-02-24', '2020-02-25', '2020-02-26', '2020-02-27', '2020-02-28', '2020-02-29', '2020-03-01', '2020-03-02', '2020-03-03', '2020-03-04', '2020-03-05', '2020-03-06', '2020-03-07', '2020-03-08', '2020-03-10', '2020-03-11', '2020-03-12', '2020-03-13', '2020-03-14', '2020-03-15', '2020-03-16', '2020-03-17', '2020-03-18', '2020-03-19', '2020-03-20', '2020-03-21', '2020-03-22', '2020-03-23', '2020-03-24', '2020-03-25', '2020-03-26', '2020-03-27', '2020-03-28', '2020-03-29']","[-3.802, -13.536, 1.132, -0.56, 1.796, 1.371, 0.76, 2.06, 3.072, 5.378, 2.52, 4.191, 2.741, 3.041, 2.06, 2.513, 1.415, 2.8, 2.694, -0.685, 0.76, -1.117, 0.283, -3.36, -2.095, -2.056, -0.76, -22.363, -24.017, -20.947, -24.922, -25.443, -14.391, -22.05, -21.481, -26.53, -26.042, -28.002, -26.341, -19.189, -22.81]",2
3,Texas,Andrews County,Retail & recreation,-28,-28.757668333333324,"['2020-02-16', '2020-02-17', '2020-02-18', '2020-02-19', '2020-02-20', '2020-02-21', '2020-02-22', '2020-02-23', '2020-02-24', '2020-02-25', '2020-02-26', '2020-02-27', '2020-02-28', '2020-02-29', '2020-03-01', '2020-03-02', '2020-03-03', '2020-03-04', '2020-03-05', '2020-03-06', '2020-03-07', '2020-03-08', '2020-03-09', '2020-03-11', '2020-03-12', '2020-03-13', '2020-03-14', '2020-03-15', '2020-03-16', '2020-03-17', '2020-03-18', '2020-03-19', '2020-03-20', '2020-03-21', '2020-03-22', '2020-03-23', '2020-03-24', '2020-03-25', '2020-03-26', '2020-03-27', '2020-03-28', '2020-03-29']","[17.574, 4.464, 1.365, -1.395, 0.461, -6.944, 1.453, -1.917, 6.448, 1.82, 18.136, 17.054, 12.731, 1.938, 20.769, 10.665, 11.372, 5.115, 4.148, 4.244, 2.422, 5.112, 0.496, -3.255, -3.687, -15.046, -5.329, -17.255, -13.393, -22.289, -17.671, -20.28, -26.62, -43.12, -28.119, -26.29, -33.206, -26.507, -23.968, -39.738, -28.101, -28.758]",2
4,Texas,Andrews County,Grocery & pharmacy,-22,-23.226349999999996,"['2020-02-16', '2020-02-17', '2020-02-18', '2020-02-19', '2020-02-20', '2020-02-21', '2020-02-22', '2020-02-23', '2020-02-24', '2020-02-25', '2020-02-26', '2020-02-27', '2020-02-28', '2020-02-29', '2020-03-01', '2020-03-02', '2020-03-04', '2020-03-05', '2020-03-06', '2020-03-07', '2020-03-08', '2020-03-09', '2020-03-10', '2020-03-11', '2020-03-12', '2020-03-13', '2020-03-14', '2020-03-16', '2020-03-17', '2020-03-18', '2020-03-19', '2020-03-20', '2020-03-21', '2020-03-22', '2020-03-23', '2020-03-24', '2020-03-25', '2020-03-26', '2020-03-27', '2020-03-28', '2020-03-29']","[-4.223, -0.62, -4.315, -5.357, -4.99, -1.766, -8.257, -9.15, 0.62, -4.315, -1.19, 7.485, 2.943, 0.635, 2.111, 1.86, -6.548, 1.871, 7.651, -3.811, -7.038, -0.62, -7.396, -3.571, 6.238, 8.239, 3.811, 7.44, 8.013, 2.381, 3.119, 12.359, -8.892, -11.965, -14.261, -5.547, -6.845, -14.346, -12.359, -13.338, -23.226]",2
5,Texas,Andrews County,Workplace,-33,-34.72222666666667,"['2020-02-16', '2020-02-17', '2020-02-18', '2020-02-19', '2020-02-20', '2020-02-21', '2020-02-22', '2020-02-23', '2020-02-24', '2020-02-25', '2020-02-26', '2020-02-27', '2020-02-28', '2020-03-01', '2020-03-02', '2020-03-03', '2020-03-04', '2020-03-05', '2020-03-06', '2020-03-07', '2020-03-08', '2020-03-09', '2020-03-10', '2020-03-11', '2020-03-12', '2020-03-13', '2020-03-14', '2020-03-15', '2020-03-16', '2020-03-17', '2020-03-18', '2020-03-19', '2020-03-20', '2020-03-21', '2020-03-22', '2020-03-23', '2020-03-24', '2020-03-25', '2020-03-26', '2020-03-27', '2020-03-28', '2020-03-29']","[2.042, -4.861, 0.681, -1.302, 4.766, -15.557, -1.578, -12.255, 5.556, 1.362, 0.651, 4.766, -2.706, -2.042, 4.861, 5.447, 2.604, 3.404, -1.353, -9.47, -2.042, -18.056, -15.659, -16.276, -19.063, -24.351, -12.626, -8.17, -14.583, -13.617, -17.578, -14.978, -20.969, -20.518, -16.34, -21.528, -23.829, -27.995, -27.233, -33.144, -18.939, -34.722]",2
6,Texas,Atascosa County,Retail & recreation,-23,-24.181543333333337,"['2020-02-16', '2020-02-17', '2020-02-18', '2020-02-19', '2020-02-20', '2020-02-22', '2020-02-23', '2020-02-24', '2020-02-25', '2020-02-26', '2020-02-27', '2020-02-28', '2020-02-29', '2020-03-01', '2020-03-02', '2020-03-03', '2020-03-04', '2020-03-05', '2020-03-06', '2020-03-07', '2020-03-08', '2020-03-09', '2020-03-10', '2020-03-11', '2020-03-12', '2020-03-13', '2020-03-14', '2020-03-15', '2020-03-16', '2020-03-17', '2020-03-18', '2020-03-19', '2020-03-20', '2020-03-21', '2020-03-22', '2020-03-23', '2020-03-24', '2020-03-25', '2020-03-26', '2020-03-27', '2020-03-28', '2020-03-29']","[8.371, 1.038, 1.384, 0.17, -6.585, 5.357, 5.394, 5.883, 7.267, 14.662, 8.806, 11.393, 21.131, 19.903, 17.476, 21.629, 14.15, 12.614, 19.26, 10.863, 15.253, 14.189, 11.939, 13.98, 13.884, 10.986, 9.375, 13.021, 6.402, 2.422, -2.557, -9.124, -14.242, -25.893, -23.251, -21.456, -16.438, -24.72, -24.514, -26.177, -25.149, -24.182]",4
7,Texas,Atascosa County,Grocery & pharmacy,-24,-24.637679999999996,"['2020-02-16', '2020-02-17', '2020-02-18', '2020-02-19', '2020-02-20', '2020-02-21', '2020-02-22', '2020-02-23', '2020-02-24', '2020-02-25', '2020-02-26', '2020-02-27', '2020-02-28', '2020-02-29', '2020-03-01', '2020-03-02', '2020-03-03', '2020-03-04', '2020-03-05', '2020-03-06', '2020-03-07', '2020-03-08', '2020-03-09', '2020-03-10', '2020-03-11', '2020-03-12', '2020-03-13', '2020-03-14', '2020-03-15', '2020-03-16', '2020-03-17', '2020-03-18', '2020-03-19', '2020-03-20', '2020-03-21', '2020-03-22', '2020-03-23', '2020-03-24', '2020-03-25', '2020-03-26', '2020-03-27', '2020-03-28', '2020-03-29']","[2.355, 3.31, -0.598, -2.624, -3.538, -2.913, -0.837, -1.268, 4.089, 1.793, 3.836, 3.734, 3.084, 5.527, 10.507, 7.009, 12.747, 7.066, 7.862, 3.769, 2.68, 2.536, 5.257, 3.585, 9.892, 20.637, 34.094, 11.723, 7.79, 19.86, 14.34, 17.765, 20.637, 14.563, -1.507, -5.072, -0.389, 1.992, -8.882, -7.075, -13.877, -14.151, -24.638]",4
8,Texas,Atascosa County,Transit stations,-65,-67.51543666666669,"['2020-02-16', '2020-02-17', '2020-02-18', '2020-02-19', '2020-02-20', '2020-02-22', '2020-02-23', '2020-02-25', '2020-02-26', '2020-02-27', '2020-02-28', '2020-02-29', '2020-03-01', '2020-03-02', '2020-03-05', '2020-03-06', '2020-03-07', '2020-03-08', '2020-03-09', '2020-03-10', '2020-03-11', '2020-03-12', '2020-03-13', '2020-03-14', '2020-03-15', '2020-03-16', '2020-03-17', '2020-03-18', '2020-03-19', '2020-03-20', '2020-03-21', '2020-03-22', '2020-03-23', '2020-03-24', '2020-03-25', '2020-03-26', '2020-03-27', '2020-03-28', '2020-03-29']","[9.645, 17.077, 10.417, 1.766, 1.68, 1.796, -9.645, 1.736, 8.828, 15.121, 5.952, 14.368, 3.858, -1.708, 16.801, 5.952, 1.796, 11.574, 10.246, 15.625, 26.483, 13.441, 13.393, 10.776, 19.29, 6.831, -34.722, -40.607, -48.723, -46.131, -52.083, -55.941, -52.937, -48.611, -47.669, -53.763, -63.988, -66.451, -67.515]",4
9,Texas,Atascosa County,Workplace,-24,-24.86559500000001,"['2020-02-16', '2020-02-17', '2020-02-19', '2020-02-20', '2020-02-21', '2020-02-22', '2020-02-24', '2020-02-25', '2020-02-26', '2020-02-27', '2020-02-28', '2020-02-29', '2020-03-01', '2020-03-02', '2020-03-03', '2020-03-04', '2020-03-05', '2020-03-06', '2020-03-07', '2020-03-09', '2020-03-10', '2020-03-11', '2020-03-12', '2020-03-13', '2020-03-14', '2020-03-15', '2020-03-16', '2020-03-17', '2020-03-18', '2020-03-19', '2020-03-20', '2020-03-21', '2020-03-22', '2020-03-23', '2020-03-24', '2020-03-25', '2020-03-26', '2020-03-27', '2020-03-28', '2020-03-29']","[-2.688, -18.667, 2.648, 1.324, 3.918, 6.031, 5.301, 1.099, 3.752, 1.766, 3.687, 1.645, 3.36, 4.609, 2.198, 3.31, 2.428, 2.996, 2.741, -17.745, -20.877, -18.98, -22.29, -22.815, 2.193, -5.376, -17.976, -19.998, -19.2, -20.524, -24.889, -17.544, -23.521, -29.959, -34.063, -36.414, -38.18, -37.795, -20.833, -24.866]",4
