,anhui,beijing,chongqing,fujian,gansu,guangdong,guangxi,guizhou,hainan,hebei,heilongjiang,henan,hubei,hunan,jiangsu,jiangxi,jilin,liaoning,shaanxi,shandong,shanghai,shanxi,sichuan,taiwan,tianjin,xinjiang,yunnan,zhejiang,south korea,france,australia,malaysia,brazil,germany,uk,italy,belgium,spain,sweden,finland,iran,austria,switzerland,norway,netherlands,denmark,ireland,portugal,washington,california,massachusetts,texas,florida,new york
0,,10,5,,,17,,,,,,1,270,1,,2,,,,1,9,,2,1,2,,1,5,1,,,,,,,,,,,,,,,,,,,,1,,,,,
1,1,14,6,1,,26,2,1,4,1,,5,444,4,1,2,,2,,2,9,1,5,1,4,,1,10,1,,,,,,,,,,,,,,,,,,,,1,,,,,
2,9,22,9,5,2,32,5,3,5,1,2,5,444,9,5,7,1,3,3,6,16,1,8,1,4,2,2,27,1,,,,,,,,,,,,,,,,,,,,1,2,,,,
3,15,26,22,10,2,36,23,3,8,2,4,23,279,23,9,16,3,4,5,14,11,1,13,2,6,2,4,38,1,2,,,,,,,,,,,,,,,,,,,0,2,,,,
4,38,27,51,17,4,52,21,3,15,7,9,27,317,39,17,16,4,15,15,25,24,5,23,2,6,3,10,52,1,3,4,3,,,,,,,,,,,,,,,,,0,2,,,,
5,51,46,66,30,5,79,31,2,17,12,13,78,614,60,28,29,3,18,19,40,24,8,36,3,10,2,14,77,2,3,4,4,,,,,,,,,,,,,,,,,0,0,,,,
6,55,36,83,46,12,98,23,4,25,16,17,104,874,76,38,30,3,23,30,60,33,12,54,2,14,3,21,85,2,1,5,4,,,,,,,,,,,,,,,,,0,0,,,,
7,113,61,90,64,20,163,35,5,24,40,28,174,2793,178,81,91,5,20,41,94,47,21,80,5,17,10,40,234,2,1,1,4,,4,,,,,,,,,,,,,,,0,0,,,,
8,140,46,90,66,19,200,42,7,24,52,28,195,3528,208,96,126,10,20,41,99,61,26,98,4,15,10,54,324,1,2,3,4,,4,,,,,,,,,,,,,,,0,0,,,,
9,167,49,96,45,15,242,41,8,16,64,38,224,4383,232,121,192,8,18,31,103,75,26,108,4,10,12,50,409,3,3,4,4,,4,,,,,,1,,,,,,,,,0,3,,,,
10,145,54,91,62,11,279,42,20,14,48,43,216,3599,168,103,177,8,23,45,81,89,20,99,2,10,5,40,303,7,2,5,1,,3,,2,,,,1,,,,,,,,,0,3,,,,
11,140,54,97,43,14,293,33,26,17,39,52,215,4488,186,107,171,9,23,38,80,76,21,89,2,16,7,23,233,11,1,5,0,,4,2,2,,1,1,1,,,,,,,,,0,3,,,,
12,171,70,94,58,22,290,40,31,21,31,59,214,5371,189,103,151,17,25,62,68,65,27,77,1,22,7,29,187,8,0,3,0,,6,2,2,,1,1,0,,,,,,,,,0,0,,,,
13,183,56,99,35,20,277,39,27,22,30,75,253,6369,204,106,190,25,14,27,68,39,27,75,0,23,11,26,230,4,0,2,0,,5,2,0,,1,1,0,,,,,,,,,0,1,,,,
14,190,60,104,50,17,266,39,26,26,31,95,271,7604,198,105,215,31,17,41,73,56,25,70,1,22,11,29,234,1,0,1,2,,4,0,0,1,0,0,0,,,,,,,,,0,1,,,,
15,122,62,76,46,6,212,23,18,29,22,72,198,5501,140,70,157,23,18,37,61,50,15,47,1,15,8,19,171,4,0,2,4,,2,0,0,1,0,0,0,,,,,,,,,0,1,,,,
16,185,85,74,45,12,221,33,21,36,45,122,239,8590,179,100,185,23,20,56,109,69,22,62,6,21,10,18,177,9,0,3,6,,1,1,1,1,0,0,0,,,,,,,,,0,0,,,,
17,203,87,60,45,14,205,33,25,35,60,105,217,8275,142,98,150,15,18,53,109,53,23,62,6,21,10,16,153,8,0,2,5,,1,1,1,0,0,0,0,,,,,,,,,0,0,1,,,
18,249,73,70,45,22,225,45,32,29,71,117,269,10422,177,127,192,24,17,43,128,50,34,85,6,21,13,16,180,6,5,1,4,,1,1,1,0,0,0,0,,,,,,,,,0,0,1,,,
19,165,40,57,37,16,133,38,32,21,47,54,159,7519,107,84,110,15,13,29,80,22,23,61,2,13,10,6,86,3,5,0,4,,1,1,0,0,1,0,0,,,,,,,,,0,0,1,,,
20,127,27,60,28,15,102,32,29,18,44,65,124,6775,109,76,106,12,9,24,79,17,18,54,1,14,13,11,69,4,5,0,3,,1,5,0,0,1,0,0,,,,,,,,,0,1,0,,,
21,110,26,59,22,7,99,27,35,23,45,71,102,6266,108,75,104,5,11,17,62,13,9,50,1,17,14,14,56,3,0,0,2,,3,5,0,0,1,0,0,,,,,,,,,0,1,0,,,
22,80,29,50,18,4,90,12,26,21,47,64,96,18575,89,78,101,4,9,16,47,14,7,46,0,19,14,14,53,1,0,0,0,,2,5,0,0,0,0,0,,,,,,,,,0,2,0,,,
23,74,30,43,14,5,84,11,22,16,44,58,79,20258,76,78,96,5,9,11,33,15,4,46,0,18,10,13,38,0,0,0,1,,2,1,0,0,0,0,0,,,,,,,,,0,1,0,1,,
24,61,23,32,13,4,75,13,12,11,40,47,77,21040,55,61,69,5,3,7,33,20,3,34,0,14,11,14,31,0,0,0,3,,0,1,0,0,0,0,0,,,,,,,,,0,1,0,1,,
25,52,14,26,8,3,75,15,9,5,35,50,62,8043,36,47,53,5,4,7,31,15,2,30,0,9,8,14,22,1,1,0,4,,0,0,0,0,0,0,0,,,,,,,,,0,0,0,1,,
26,39,9,22,9,-1,61,12,6,5,18,39,62,6196,18,33,30,3,4,10,22,14,3,32,2,5,10,9,16,2,1,0,3,,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,,
27,32,12,16,7,1,34,7,3,1,11,39,45,5583,6,25,20,1,2,8,13,7,3,38,4,6,6,4,10,3,1,0,1,,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,,
28,24,13,11,6,1,15,7,2,1,6,25,31,5433,4,14,9,1,1,6,7,5,3,33,4,6,5,4,7,17,0,0,0,,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,,
29,14,14,9,3,1,10,7,0,5,6,19,19,3849,4,5,4,2,0,5,5,1,2,25,4,5,1,1,4,52,0,0,0,,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,,
30,6,9,14,1,0,5,4,0,5,6,15,10,2673,4,2,1,2,0,5,205,1,2,17,2,4,0,2,31,125,0,0,0,,0,0,0,0,0,0,0,5,,,,,,,,0,1,0,0,,
31,2,3,12,0,0,2,2,0,5,2,9,5,980,3,0,0,1,0,3,205,1,1,11,4,4,0,1,29,110,0,0,0,,0,0,0,0,0,0,0,5,,,,,,,,0,1,0,0,,
32,2,4,13,0,0,10,4,0,0,4,4,6,2053,6,0,0,0,0,0,208,2,1,6,2,5,0,2,30,474,0,2,0,,0,0,76,0,0,0,0,28,,,,,,,,0,2,0,0,,
33,1,3,8,0,0,9,5,0,0,3,1,4,1422,5,0,0,2,0,0,6,1,0,1,4,4,0,0,2,446,0,2,0,,0,4,154,0,0,0,0,38,,,,,,,,0,1,0,0,,
34,1,4,9,1,0,14,6,0,0,3,1,4,2124,5,0,0,2,0,0,6,1,1,4,4,3,0,0,2,737,0,7,0,1,0,4,229,0,1,0,0,56,,,,,,,,0,1,0,0,,
35,0,1,3,1,0,5,3,0,0,1,0,0,1103,0,0,0,2,0,0,2,1,1,5,6,0,0,0,0,590,2,6,0,1,2,4,244,0,5,0,0,67,2,1,,,,,,0,0,0,0,,
36,0,11,1,3,0,5,1,0,0,6,0,1,1512,1,0,0,0,0,0,2,2,1,8,4,0,0,0,0,993,6,6,0,1,11,0,313,0,11,1,1,96,2,1,,,,,,0,-1,0,0,,
37,1,10,0,2,0,1,0,0,0,7,0,1,1128,1,0,1,0,0,0,1,2,0,9,2,1,0,0,0,1129,26,1,1,0,32,3,421,0,22,6,1,209,3,9,1,,,,,0,-1,0,0,,
38,1,10,0,2,0,1,0,0,0,6,0,1,727,1,0,1,0,0,0,0,1,0,7,2,1,0,0,0,1191,27,1,3,0,35,6,330,0,18,6,1,293,3,14,4,2,,,,0,-1,0,0,,
39,1,1,0,0,0,2,0,0,0,1,0,0,1311,1,0,1,0,1,0,0,0,0,4,7,1,0,0,0,1931,82,3,3,1,72,10,658,0,45,11,1,454,8,23,15,7,3,,,2,1,0,0,,
40,0,4,0,0,0,2,0,0,0,0,0,0,1189,1,0,0,0,1,0,2,0,0,0,9,0,0,0,0,2134,92,7,6,1,82,20,1060,1,49,6,4,708,11,18,18,10,3,1,,7,1,0,0,2,
41,0,4,0,0,0,2,0,0,0,0,0,0,1303,1,0,0,0,4,0,2,1,0,0,7,0,0,0,8,2475,150,10,4,1,104,21,1431,7,99,8,5,1113,11,23,21,16,4,1,2,16,6,0,0,2,1
42,0,6,0,0,0,1,0,0,0,0,0,0,425,0,0,0,0,3,0,2,1,0,0,3,0,0,0,8,1802,112,14,11,0,97,28,1374,12,107,17,4,1743,14,22,18,17,7,2,2,14,11,0,0,2,1
43,0,4,0,0,0,0,0,0,0,0,1,0,363,0,0,0,0,3,0,0,1,0,1,1,0,0,0,10,1610,155,23,21,1,221,51,1431,21,149,39,1,1944,15,53,38,28,12,5,6,16,14,1,0,0,2
44,0,8,0,0,11,1,0,0,0,0,1,0,375,0,0,0,0,0,0,0,1,0,1,3,0,0,0,2,1472,232,26,26,6,343,76,1843,42,124,79,5,2012,25,73,61,64,16,12,7,7,9,1,0,0,1
45,0,9,0,0,28,2,0,0,0,0,1,0,334,0,0,0,0,0,0,0,4,0,1,3,0,0,0,2,1439,441,26,47,11,474,112,2178,96,235,107,8,2411,31,164,80,104,13,16,7,66,58,7,16,2,34
46,0,10,0,0,29,2,0,0,0,0,0,0,241,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,1368,664,23,43,16,449,119,2868,146,293,109,12,2901,50,148,90,150,12,13,12,82,68,11,18,5,74
47,0,6,0,0,22,1,0,0,0,0,0,0,151,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,1098,786,23,44,17,540,157,3497,150,425,109,13,3053,63,226,90,183,15,8,21,92,78,26,21,8,104
48,0,3,0,0,5,1,0,0,0,0,0,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,748,759,35,34,17,481,156,4540,130,823,123,18,2414,76,127,63,193,67,6,21,83,35,33,7,9,108
49,0,7,0,0,5,1,0,0,0,0,1,0,66,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,381,835,41,36,15,765,167,4137,98,1179,194,21,2219,103,269,253,194,235,15,12,165,65,79,9,8,97
50,0,7,0,0,3,4,0,0,0,0,1,1,38,0,0,0,0,0,0,2,2,0,0,3,0,0,0,0,487,1075,46,50,27,926,187,5038,114,1604,297,40,2434,142,315,453,238,479,22,29,254,64,67,11,13,112
51,0,7,0,0,3,3,0,0,0,0,1,1,26,0,0,0,0,0,0,2,4,0,0,4,0,0,0,0,464,1464,58,41,47,1594,277,6165,160,1923,427,76,2914,230,531,624,293,584,46,29,240,84,67,11,17,182
52,0,2,0,0,4,3,0,0,0,0,0,1,17,0,0,0,0,0,0,2,6,0,0,3,0,0,0,12,571,1877,82,68,117,2110,425,7511,292,3537,459,115,3322,322,642,596,422,539,56,82,301,90,31,22,36,248
53,0,7,0,0,5,1,0,0,0,0,0,0,13,0,0,0,0,0,0,0,9,0,0,5,0,0,0,16,293,2216,119,89,99,2636,680,8695,375,4116,461,160,3729,419,723,479,456,313,86,110,276,81,43,23,54,306
54,0,10,0,0,6,5,0,0,0,0,0,0,12,0,0,0,0,0,0,0,9,0,0,10,0,0,1,16,257,2547,154,270,123,2093,776,9553,487,4607,336,135,3863,499,1352,456,521,190,99,186,367,183,56,32,85,404
